grid_id,slope_deg,proximity_to_river_km,vegetation_index_0to1,night_illumination_0to1,past_incidents_2yrs,snow_cover_days,visibility_km,risk_band
191,27.5,3.8,0.68,0.17,0,130,0.3,Medium
192,27.0,3.87,0.2,0.2,1,109,2.9,High
193,27.3,0.78,0.41,0.17,0,189,2.8,Low
194,14.9,4.2,0.44,0.16,0,153,7.7,Low
195,0.0,1.53,0.43,0.26,0,159,5.0,Low
196,34.0,7.59,0.36,0.35,0,131,6.2,Low
197,12.1,6.29,0.26,0.29,1,159,4.5,Low
198,25.2,5.03,0.23,0.02,2,135,3.6,Medium
199,19.2,2.57,0.05,0.08,1,105,4.2,High
200,29.3,4.46,0.07,0.19,0,134,5.5,Low
201,17.5,6.12,0.22,0.07,0,203,6.7,Low
202,18.7,2.98,0.77,0.12,0,128,4.0,Low
203,19.8,0.77,0.6,0.2,0,170,2.4,Low
204,22.2,6.16,0.07,0.12,1,167,5.2,Low
205,5.6,5.59,0.04,0.02,1,142,2.0,High
206,36.8,4.96,0.18,0.28,1,186,4.2,Low
207,17.3,1.72,0.27,0.06,0,33,4.7,High
208,23.8,6.88,0.33,0.05,0,46,3.3,High
209,33.2,7.45,0.55,0.19,1,189,1.9,Low
210,17.9,4.84,0.42,0.18,0,94,2.7,Medium
211,8.0,2.81,0.34,0.32,0,124,2.9,Medium
212,7.7,2.87,0.43,0.23,0,190,1.6,Low
213,13.5,2.81,0.4,0.31,0,127,2.8,Medium
214,21.3,2.68,0.47,0.2,0,187,0.9,Low
215,22.4,2.94,0.09,0.16,0,104,4.6,Medium
216,29.3,4.97,0.35,0.32,1,144,4.1,Low
217,2.6,6.69,0.11,0.08,1,122,4.0,High
218,20.2,8.35,0.66,0.01,0,179,2.8,Low
219,24.2,1.26,0.19,0.08,1,109,3.0,High
220,23.8,1.75,0.32,0.3,0,81,2.0,High
221,0.0,6.53,0.57,0.25,0,101,4.4,Medium
222,14.3,1.26,0.29,0.23,2,103,1.1,High
223,26.1,0.52,0.11,0.03,1,94,3.7,High
224,9.9,1.17,0.1,0.14,0,92,2.4,High
225,6.1,3.47,0.19,0.27,2,164,6.7,Low
226,23.6,8.91,0.54,0.21,0,176,4.4,Low
227,21.0,3.62,0.73,0.12,1,135,3.5,Low
228,20.3,4.82,0.22,0.33,0,94,1.5,High
229,11.5,0.41,0.36,0.16,1,96,1.0,High
230,4.9,7.22,0.69,0.14,1,37,4.4,High
231,27.5,6.61,0.31,0.24,0,135,6.7,Low
232,51.4,2.59,0.73,0.16,0,92,4.2,Low
233,1.8,1.94,0.22,0.56,0,178,3.8,Low
234,28.2,6.87,0.15,0.24,0,64,3.8,High
235,16.3,3.32,0.43,0.27,1,96,3.7,Medium
236,21.2,2.01,0.1,0.23,2,116,3.9,High
237,17.4,2.9,0.28,0.02,1,138,2.3,Medium
238,40.0,4.72,0.43,0.28,0,192,1.7,Low
239,10.0,6.2,0.53,0.22,1,65,3.7,High
240,12.0,4.97,0.17,0.05,0,107,6.2,Medium
241,18.8,4.81,0.2,0.04,1,62,4.9,High
242,23.7,3.28,0.4,0.34,3,151,1.3,Medium
243,31.3,4.44,0.22,0.19,0,94,3.0,Medium
244,22.9,2.83,0.55,0.25,1,115,4.8,Low
245,20.3,3.19,0.16,0.58,1,113,6.2,Low
246,13.6,8.26,0.62,0.23,1,124,6.7,Low
247,23.1,4.13,0.34,0.05,1,113,3.1,Medium
248,10.9,2.9,0.6,0.33,1,81,5.0,Medium
249,20.0,1.98,0.67,0.46,0,123,3.9,Low
250,15.8,2.6,0.72,0.18,0,88,3.3,Medium
251,8.2,10.26,0.78,0.27,2,152,3.6,Low
252,33.6,10.59,0.58,0.28,0,122,3.6,Low
253,8.2,5.88,0.21,0.11,1,78,5.6,Medium
254,14.1,0.89,0.17,0.49,2,216,1.0,Medium
255,2.2,12.2,0.46,0.36,0,186,4.3,Low
256,16.3,0.21,0.45,0.11,0,217,6.3,Low
257,22.3,5.18,0.53,0.42,0,106,6.1,Low
258,8.9,1.14,0.56,0.14,1,86,4.5,Medium
259,0.0,2.52,0.45,0.23,0,152,2.1,Medium
260,14.2,4.7,0.42,0.4,0,164,4.9,Low
261,16.4,5.08,0.39,0.31,1,127,5.9,Low
262,15.6,4.36,0.31,0.33,0,35,2.6,High
263,33.9,8.48,0.51,0.07,0,80,4.1,Medium
264,21.3,3.86,0.22,0.4,0,136,3.1,Low
265,20.6,6.44,0.55,0.24,0,93,2.4,Medium
266,21.3,1.65,0.04,0.07,1,65,2.9,High
267,21.2,7.89,0.23,0.31,0,109,3.7,Medium
268,13.6,8.14,0.71,0.23,0,0,1.8,High
269,8.6,3.24,0.55,0.07,1,95,1.6,High
270,42.7,5.13,0.14,0.12,2,102,1.9,High
271,16.5,1.9,0.41,0.21,0,132,4.1,Low
272,18.2,3.34,0.51,0.34,0,141,0.9,Medium
273,18.5,6.21,0.57,0.22,1,135,0.3,Medium
274,10.4,5.45,0.7,0.44,1,155,6.0,Low
275,19.8,1.19,0.42,0.2,1,113,1.7,High
276,5.2,0.59,0.17,0.12,1,61,3.2,High
277,25.2,2.24,0.18,0.34,0,121,5.2,Low
278,15.4,4.66,0.13,0.66,0,84,0.9,High
279,29.3,1.25,0.37,0.06,0,65,0.9,High
280,23.2,0.24,0.11,0.1,0,143,2.4,High
281,21.9,3.89,0.19,0.17,0,63,5.2,Medium
282,10.1,10.26,0.49,0.37,1,147,3.5,Low
283,18.7,4.61,0.35,0.26,1,68,3.5,High
284,25.6,0.33,0.13,0.26,1,108,3.0,High
285,19.2,7.1,0.15,0.34,0,97,4.5,Medium
286,4.4,8.48,0.35,0.15,2,165,6.1,Low
287,27.9,4.64,0.15,0.22,1,143,8.9,Low
288,25.6,5.87,0.49,0.09,0,87,3.2,Medium
289,3.0,7.93,0.66,0.25,0,113,6.2,Low
290,19.3,5.82,0.46,0.43,1,173,5.3,Low
291,26.2,5.9,0.87,0.24,0,179,4.0,Low
292,12.0,0.6,0.47,0.39,1,65,0.3,High
293,4.7,4.19,0.68,0.34,0,172,2.8,Low
294,7.3,6.58,0.31,0.09,1,169,2.9,Medium
295,16.9,3.33,0.78,0.18,1,127,4.1,Low
296,27.3,2.64,0.07,0.46,1,116,3.1,Medium
297,7.1,6.92,0.17,0.46,0,97,2.5,Medium
298,7.2,1.14,0.17,0.22,0,69,7.2,Medium
299,15.0,3.89,0.26,0.05,0,133,5.9,Low
300,24.9,4.17,0.06,0.23,1,113,0.3,High
301,35.5,6.07,0.42,0.18,0,137,3.0,Low
302,18.9,5.02,0.49,0.19,0,138,4.6,Low
303,11.3,5.03,0.26,0.23,1,220,5.9,Low
304,10.0,2.79,0.16,0.07,0,167,2.7,Medium
305,31.7,2.86,0.26,0.06,1,141,3.1,Medium
306,5.4,5.02,0.8,0.22,1,34,3.7,High
307,19.9,2.5,0.4,0.03,0,135,4.7,Low
308,31.2,1.51,0.95,0.16,0,183,0.7,Low
309,16.4,7.86,0.51,0.29,1,102,0.3,High
310,7.2,1.98,0.13,0.31,0,207,5.8,Low
311,23.3,2.62,0.06,0.62,0,141,1.7,Medium
312,19.0,7.68,0.76,0.29,2,131,7.3,Low
313,22.7,1.93,0.1,0.4,0,80,1.9,High
314,23.8,4.96,0.43,0.34,0,180,3.2,Low
315,23.2,5.23,0.8,0.06,0,86,4.2,Low
316,21.0,3.73,0.33,0.25,1,97,0.3,High
317,24.8,2.83,0.58,0.34,2,44,8.7,Low
318,31.5,0.62,0.1,0.1,2,155,2.8,High
319,10.2,5.88,0.38,0.16,3,143,2.0,High
320,15.3,7.31,0.38,0.3,0,120,1.4,Medium
321,25.9,6.99,0.21,0.23,1,149,4.2,Low
322,17.3,5.11,0.66,0.13,1,145,4.0,Low
323,5.4,1.93,0.45,0.37,1,105,1.5,High
324,21.3,6.31,0.15,0.26,0,88,1.0,High
325,13.1,3.67,0.41,0.25,1,51,5.4,Medium
326,39.2,2.22,0.37,0.51,1,112,2.3,Medium
327,27.9,5.97,0.29,0.16,0,67,0.4,High
328,29.6,4.68,0.16,0.16,0,126,3.2,Medium
329,18.4,7.03,0.17,0.18,1,113,2.8,High
330,21.1,5.02,0.56,0.21,0,103,7.0,Low
331,14.6,3.2,0.46,0.14,1,161,2.6,Low
332,9.6,2.95,0.06,0.28,1,80,2.9,High
333,8.9,5.83,0.59,0.22,1,46,3.9,High
334,39.4,0.01,0.46,0.33,0,110,2.5,Medium
335,22.0,2.5,0.25,0.4,1,90,4.3,Medium
336,4.8,2.58,0.16,0.25,0,124,1.7,High
337,27.6,5.26,0.41,0.38,3,83,3.1,High
338,44.2,5.94,0.69,0.45,0,136,4.2,Low
339,2.6,1.69,0.4,0.22,0,81,5.5,Medium
340,24.0,0.72,0.51,0.57,1,80,2.4,High
341,6.8,6.86,0.15,0.31,0,144,2.4,Medium
342,29.6,1.86,0.12,0.35,1,118,6.3,Low
343,0.0,5.93,0.56,0.01,0,72,2.5,High
344,18.8,3.96,0.52,0.14,1,81,3.4,Medium
345,22.4,2.41,0.48,0.33,2,105,6.6,Low
346,4.2,5.74,0.2,0.59,0,74,3.6,Medium
347,22.4,4.1,0.18,0.06,0,108,3.1,Medium
348,13.4,8.48,0.2,0.26,1,109,3.2,Medium
349,35.2,1.79,0.68,0.25,1,83,2.2,High
350,3.8,0.03,0.7,0.38,0,146,4.3,Low
351,27.1,3.95,0.26,0.46,2,79,1.8,High
352,17.0,5.43,0.29,0.26,0,169,4.9,Low
353,30.9,3.44,0.33,0.25,0,111,3.5,Medium
354,31.2,9.4,0.59,0.41,1,93,3.9,Low
355,15.5,7.64,0.41,0.05,1,141,6.6,Low
356,17.6,2.42,0.53,0.52,0,121,0.9,Medium
357,27.1,4.19,0.35,0.24,1,150,3.5,Low
358,23.2,1.42,0.63,0.3,1,39,4.6,High
359,16.8,7.15,0.44,0.19,3,140,2.4,Medium
360,9.7,1.96,0.45,0.16,0,99,5.2,Medium
361,21.7,4.6,0.65,0.11,0,121,2.5,Medium
362,6.9,3.23,0.39,0.59,1,116,4.0,Low
363,24.5,0.47,0.16,0.19,0,173,3.3,Low
364,29.1,6.5,0.6,0.59,1,45,3.8,Medium
365,9.7,0.82,0.58,0.18,0,184,3.6,Low
366,13.8,2.44,0.46,0.18,2,148,3.4,Medium
367,11.7,6.56,0.45,0.38,1,126,2.6,Medium
368,28.5,1.09,0.37,0.15,1,62,2.3,High
369,18.5,8.47,0.41,0.35,0,53,4.1,Medium
370,14.3,1.04,0.42,0.02,1,97,3.6,High
371,24.5,0.49,0.64,0.24,0,145,2.3,Low
372,13.2,4.14,0.57,0.13,0,119,4.1,Low
373,16.0,8.9,0.27,0.06,1,143,2.7,Medium
374,6.9,3.98,0.28,0.19,0,61,6.3,Medium
375,26.4,6.94,0.39,0.51,0,121,8.0,Low
376,7.1,0.02,0.41,0.07,0,163,6.0,Low
377,32.3,2.9,0.49,0.24,1,178,5.9,Low
378,20.4,3.09,0.13,0.14,1,69,5.0,High
379,16.4,0.22,0.46,0.14,1,105,3.1,High
380,17.9,0.77,0.23,0.15,1,106,0.3,High
381,35.1,3.28,0.29,0.2,0,94,1.7,High
382,4.5,8.74,0.37,0.1,0,156,2.3,Medium
383,5.3,4.66,0.41,0.18,1,234,5.7,Low
384,27.6,1.95,0.2,0.04,0,75,4.0,High
385,8.8,2.11,0.51,0.36,0,136,2.3,Low
386,10.6,2.88,0.18,0.1,1,131,0.3,High
387,13.6,2.68,0.56,0.19,0,132,7.7,Low
388,29.3,5.15,0.23,0.31,0,173,4.5,Low
389,26.1,3.24,0.05,0.72,0,134,5.1,Low
390,16.6,5.9,0.41,0.06,0,34,2.5,High
391,22.0,6.3,0.22,0.08,1,62,3.3,High
392,21.8,3.79,0.45,0.71,1,77,2.9,Medium
393,8.0,3.83,0.2,0.15,0,90,3.6,High
394,8.7,4.1,0.44,0.04,2,114,6.8,Low
395,0.0,1.23,0.37,0.26,1,111,1.3,High
396,32.9,6.16,0.61,0.21,3,47,3.4,High
397,11.3,9.09,0.56,0.23,1,55,4.1,Medium
398,18.1,4.18,0.16,0.2,0,35,3.3,High
399,23.4,1.65,0.14,0.22,2,57,5.3,High
400,8.3,3.98,0.04,0.55,0,159,0.4,Medium
401,9.5,2.7,0.64,0.18,0,109,6.9,Low
402,8.8,4.08,0.19,0.06,2,81,1.0,High
403,0.0,3.06,0.13,0.37,0,43,1.5,High
404,17.3,2.46,0.53,0.06,0,79,2.7,High
405,41.4,4.29,0.39,0.15,0,144,2.3,Medium
406,12.7,10.67,0.12,0.36,0,139,4.3,Low
407,13.0,0.01,0.17,0.29,1,109,4.1,High
408,14.3,7.29,0.87,0.08,0,109,3.7,Low
409,21.1,5.2,0.77,0.09,1,49,0.9,High
410,26.8,1.24,0.63,0.22,0,88,3.2,Medium
411,9.7,0.03,0.41,0.36,0,142,3.5,Medium
412,22.6,4.79,0.5,0.49,1,93,5.7,Low
413,17.1,5.08,0.52,0.19,0,184,3.9,Low
414,21.0,0.52,0.54,0.41,1,168,4.2,Low
415,22.5,6.78,0.25,0.42,0,101,7.0,Low
416,8.3,2.52,0.64,0.35,0,109,1.4,Medium
417,12.7,5.48,0.46,0.06,1,208,2.8,Low
418,22.6,6.11,0.05,0.16,2,153,1.5,High
419,16.6,6.69,0.47,0.17,0,122,6.4,Low
420,25.9,1.03,0.63,0.43,0,127,6.5,Low
421,15.8,10.03,0.32,0.23,0,125,6.3,Low
422,28.1,1.24,0.15,0.5,0,119,4.5,Low
423,0.0,6.68,0.03,0.42,0,77,4.2,High
424,21.2,2.5,0.82,0.41,2,103,2.7,Medium
425,5.1,4.16,0.29,0.26,1,62,4.9,High
426,29.2,3.63,0.45,0.17,0,148,1.2,Medium
427,16.5,5.4,0.76,0.2,0,114,1.2,Medium
428,14.6,7.14,0.52,0.41,3,151,2.7,Medium
429,9.7,2.16,0.33,0.32,0,69,6.9,Low
430,24.6,1.37,0.66,0.14,0,176,2.6,Low
431,23.7,2.19,0.18,0.05,0,171,2.8,Medium
432,15.2,4.54,0.21,0.24,0,57,4.0,High
433,24.7,3.49,0.14,0.25,0,99,5.1,Medium
434,20.2,4.33,0.3,0.29,0,104,5.8,Low
435,18.9,3.7,0.19,0.26,0,62,1.5,High
436,25.8,6.28,0.88,0.28,0,109,3.3,Low
437,36.1,2.48,0.12,0.43,1,142,3.9,Medium
438,20.8,5.05,0.14,0.43,1,101,4.1,Medium
439,20.8,3.9,0.2,0.28,0,51,5.1,High
440,27.2,1.12,0.76,0.37,0,150,5.0,Low
441,8.5,1.94,0.14,0.19,0,88,3.5,High
442,16.2,6.76,0.39,0.28,1,92,5.6,Medium
443,14.1,6.47,0.17,0.41,1,187,5.2,Low
444,21.0,6.22,0.2,0.29,1,135,5.1,Low
445,20.2,3.49,0.55,0.02,1,87,2.5,High
446,35.6,2.73,0.32,0.21,1,72,4.8,Medium
447,33.0,0.99,0.75,0.67,0,158,5.7,Low
448,2.9,3.21,0.21,0.04,0,155,2.6,Medium
449,21.6,0.55,0.74,0.29,0,99,3.7,Low
450,25.1,7.43,0.12,0.25,0,69,6.3,Medium
451,18.8,1.57,0.2,0.34,1,135,4.2,Medium
452,12.8,3.18,0.23,0.45,0,143,3.3,Low
453,31.8,9.21,0.37,0.12,0,105,6.1,Low
454,21.3,7.09,0.23,0.35,1,75,2.7,High
455,7.6,5.04,0.54,0.1,0,120,0.4,Medium
456,27.8,4.66,0.6,0.31,0,138,2.1,Low
457,22.7,1.73,0.5,0.17,1,100,5.5,Medium
458,11.6,6.28,0.17,0.06,2,130,4.4,Medium
459,10.4,4.64,0.36,0.28,0,134,3.6,Low
460,10.0,3.59,0.47,0.35,1,165,5.4,Low
461,29.8,5.92,0.43,0.27,0,103,3.8,Medium
462,23.9,5.98,0.13,0.07,1,74,3.1,High
463,27.6,1.09,0.06,0.13,0,117,5.0,Medium
464,20.0,6.75,0.32,0.55,0,187,2.8,Low
465,11.2,3.74,0.05,0.15,0,49,4.4,High
466,10.1,4.25,0.69,0.07,1,27,2.1,High
467,28.7,0.05,0.34,0.18,0,115,1.6,High
468,22.5,0.14,0.68,0.21,3,104,1.9,High
469,15.3,0.36,0.48,0.31,0,111,3.5,Medium
470,18.2,11.18,0.26,0.36,3,110,2.3,High
471,28.0,10.8,0.1,0.16,0,160,2.4,Medium
472,23.6,1.11,0.31,0.21,0,118,3.2,Medium
473,17.1,0.54,0.37,0.28,1,152,3.4,Medium
474,17.5,2.46,0.3,0.32,1,20,0.7,High
475,12.1,7.32,0.69,0.31,0,98,0.3,Medium
476,18.2,5.88,0.58,0.25,1,87,4.2,Medium
