link_id,device,freq_mhz,terrain,distance_km,line_of_sight,solar_activity,humidity_pct,dropout
155,VHF,166.04,Snow,7.33,0,Medium,54.0,0
156,VHF,64.39,Forest,0.67,0,High,42.0,0
157,SAT,1955.58,Urban,0.5,1,Medium,61.0,1
158,UHF,2027.1,Urban,1.65,1,High,29.0,1
159,VHF,278.07,Plain,0.96,1,Medium,89.0,0
160,HF,16.28,Mountains,8.5,1,Low,50.0,0
161,HF,17.8,Urban,7.09,1,Low,41.0,0
162,UHF,1832.81,Forest,17.0,1,Low,20.0,0
163,UHF,2867.13,Plain,0.5,0,Low,48.0,0
164,UHF,1214.97,Hills,1.69,1,High,50.0,0
165,SAT,2360.55,Hills,17.61,0,High,61.0,0
166,VHF,146.46,Hills,0.56,1,High,51.0,0
167,HF,23.0,Hills,3.36,1,Low,100.0,0
168,VHF,160.44,Plain,5.33,1,High,30.0,1
169,UHF,1796.56,Snow,1.29,0,Low,67.0,1
170,SAT,1829.15,Mountains,7.48,0,Medium,63.0,1
171,HF,14.2,Plain,9.56,0,Low,28.0,1
172,UHF,1718.43,Forest,2.53,1,High,48.0,0
173,SAT,2104.3,Snow,6.09,1,Low,100.0,0
174,SAT,1870.31,Forest,3.78,1,Medium,45.0,0
175,VHF,255.23,Mountains,5.7,0,Medium,95.0,0
176,UHF,2241.47,Hills,2.99,1,High,53.0,0
177,VHF,151.91,Urban,0.5,1,Medium,56.0,0
178,HF,22.84,Forest,1.96,0,High,48.0,1
179,VHF,31.8,Plain,1.75,0,High,35.0,1
180,SAT,2093.55,Mountains,12.9,1,Low,31.0,1
181,HF,17.19,Forest,2.89,1,Low,43.0,0
182,SAT,2014.52,Snow,11.69,1,High,70.0,0
183,HF,19.3,Urban,0.5,1,High,66.0,0
184,HF,24.67,Mountains,5.0,1,Medium,48.0,0
185,VHF,42.44,Snow,3.05,0,Medium,93.0,1
186,VHF,70.18,Plain,0.5,1,Medium,38.0,1
187,VHF,32.59,Mountains,3.15,0,High,64.0,0
188,HF,9.42,Urban,2.42,1,Low,29.0,0
189,VHF,293.97,Urban,1.2,0,Medium,61.0,0
190,UHF,1308.32,Snow,0.5,1,Medium,65.0,0
191,HF,18.57,Mountains,7.81,1,Medium,51.0,1
192,UHF,2973.28,Plain,4.69,1,High,56.0,0
193,VHF,199.36,Hills,4.47,0,Medium,45.0,1
194,VHF,76.19,Forest,11.81,0,Low,74.0,0
195,VHF,247.36,Urban,0.5,1,Medium,72.0,0
196,UHF,1790.24,Forest,3.9,0,High,64.0,0
197,VHF,298.75,Snow,15.26,1,Low,69.0,0
198,UHF,2338.68,Plain,2.99,1,Low,66.0,0
199,VHF,298.6,Urban,3.19,0,Low,47.0,1
200,SAT,2390.78,Urban,0.5,0,Low,62.0,0
201,VHF,79.18,Mountains,6.09,0,High,70.0,1
202,HF,23.2,Snow,7.18,1,High,51.0,0
203,HF,16.45,Mountains,0.75,0,Medium,66.0,0
204,VHF,65.04,Mountains,5.08,1,Low,29.0,1
205,SAT,2067.83,Forest,2.34,1,High,31.0,0
206,UHF,552.95,Forest,4.16,1,Low,57.0,0
207,UHF,2357.43,Forest,5.62,0,Low,49.0,1
208,SAT,1861.24,Mountains,0.53,0,Low,77.0,0
209,SAT,2308.94,Hills,1.79,0,Low,51.0,0
210,SAT,2182.28,Mountains,9.24,0,High,78.0,1
211,SAT,2378.36,Hills,0.93,1,High,54.0,0
212,VHF,80.19,Snow,5.25,0,Medium,62.0,0
213,HF,20.42,Hills,9.06,0,Low,47.0,0
214,VHF,263.25,Urban,4.9,1,Medium,53.0,0
215,HF,9.15,Forest,7.69,0,High,40.0,0
216,HF,24.15,Urban,3.36,0,Low,34.0,1
217,SAT,1784.85,Plain,10.71,1,Medium,74.0,0
218,SAT,2315.51,Hills,5.65,0,High,77.0,0
219,SAT,2015.52,Mountains,2.09,1,High,74.0,0
220,SAT,2166.15,Forest,3.67,1,Medium,77.0,0
221,HF,12.98,Hills,5.21,0,Medium,59.0,1
222,SAT,2325.87,Snow,7.75,0,Medium,46.0,0
223,UHF,632.54,Snow,0.92,1,Medium,41.0,0
224,HF,8.22,Snow,23.22,1,High,20.0,0
225,UHF,542.69,Mountains,0.82,1,Low,66.0,0
226,VHF,286.39,Hills,3.92,0,Low,58.0,0
227,VHF,155.9,Mountains,0.5,1,Medium,63.0,0
228,HF,15.89,Hills,2.9,1,Low,67.0,0
229,UHF,1114.02,Plain,0.5,0,High,83.0,0
230,UHF,1568.2,Snow,0.5,0,Medium,48.0,0
231,SAT,1735.09,Mountains,3.97,1,Medium,65.0,0
232,UHF,2869.44,Mountains,3.05,1,Low,45.0,0
233,UHF,1011.33,Mountains,0.5,1,High,21.0,0
234,HF,27.99,Plain,13.39,0,Low,51.0,1
235,HF,16.18,Forest,2.16,1,Low,84.0,0
236,HF,14.8,Snow,6.79,0,Medium,51.0,1
237,UHF,2470.32,Snow,16.42,0,Low,37.0,1
238,HF,16.35,Snow,11.98,0,High,63.0,0
239,UHF,1020.64,Mountains,5.74,1,Low,73.0,0
240,HF,14.75,Mountains,0.5,0,Medium,65.0,0
241,VHF,148.7,Urban,5.12,1,Medium,82.0,0
242,VHF,109.69,Plain,0.5,0,Medium,36.0,0
243,SAT,1920.39,Urban,2.79,1,High,83.0,0
244,VHF,62.43,Hills,12.27,0,Low,14.0,0
245,HF,28.38,Snow,0.64,1,Low,14.0,0
246,VHF,202.8,Plain,6.11,0,Low,26.0,0
247,SAT,1693.19,Forest,1.67,0,Low,65.0,1
248,HF,24.31,Snow,0.88,1,High,25.0,0
249,SAT,1766.37,Forest,1.37,0,Medium,42.0,0
250,VHF,190.99,Plain,2.6,1,Low,47.0,0
251,VHF,276.89,Snow,8.18,0,Low,70.0,0
252,VHF,236.62,Mountains,3.62,1,Low,81.0,0
253,SAT,1622.03,Plain,2.16,0,High,73.0,1
254,VHF,177.37,Hills,0.97,0,Low,26.0,1
255,UHF,2210.71,Hills,1.46,1,Medium,59.0,0
256,HF,8.45,Snow,14.57,0,High,48.0,0
257,UHF,571.47,Plain,1.25,0,Low,52.0,0
258,VHF,69.97,Mountains,1.97,0,Medium,54.0,0
259,SAT,2463.22,Forest,3.35,0,High,46.0,0
260,UHF,2581.63,Forest,3.01,0,Medium,40.0,0
261,HF,26.16,Urban,1.83,1,Low,46.0,0
262,SAT,1746.24,Plain,0.5,0,Medium,41.0,0
263,SAT,2058.24,Snow,8.69,1,Low,75.0,0
264,HF,16.16,Mountains,0.5,0,Low,54.0,1
265,VHF,255.26,Hills,7.8,1,High,75.0,0
266,VHF,143.87,Plain,1.83,0,Low,77.0,0
267,VHF,175.23,Urban,12.11,0,High,83.0,1
268,HF,18.69,Mountains,3.44,1,Low,30.0,1
269,VHF,130.26,Forest,0.5,1,Low,60.0,0
270,UHF,391.63,Mountains,3.65,1,Medium,30.0,0
271,SAT,1995.24,Mountains,12.02,0,High,92.0,1
272,UHF,1631.82,Forest,0.5,0,High,67.0,0
273,HF,4.1,Mountains,3.06,0,Medium,46.0,0
274,HF,16.13,Snow,6.01,1,Medium,49.0,0
275,UHF,1680.09,Forest,0.5,0,Low,72.0,1
276,HF,6.63,Hills,1.33,0,Medium,48.0,1
277,SAT,1644.0,Mountains,0.5,1,Medium,28.0,0
278,SAT,2436.53,Hills,4.07,0,Medium,64.0,0
279,VHF,81.4,Plain,8.43,1,Low,80.0,0
280,VHF,114.27,Plain,2.2,1,High,54.0,0
281,SAT,1797.67,Forest,0.59,1,Low,70.0,0
282,HF,20.75,Forest,3.73,1,Low,43.0,0
283,VHF,203.33,Urban,10.07,0,Medium,58.0,1
284,HF,27.64,Mountains,4.44,1,Low,57.0,0
285,VHF,138.75,Plain,1.23,0,Medium,48.0,0
286,UHF,2406.19,Mountains,1.22,0,Low,36.0,0
287,UHF,1319.05,Hills,2.09,1,Medium,40.0,0
288,VHF,94.81,Urban,0.5,1,Medium,41.0,1
289,SAT,2391.28,Urban,3.9,1,High,46.0,1
290,SAT,1983.66,Hills,17.89,0,High,52.0,1
291,HF,13.54,Plain,8.14,0,High,58.0,0
292,VHF,274.52,Snow,3.95,0,Low,58.0,0
293,HF,28.36,Urban,12.66,1,Low,53.0,0
294,VHF,151.89,Hills,4.3,1,High,55.0,0
295,SAT,1519.68,Snow,8.02,1,High,38.0,0
296,UHF,387.65,Forest,1.02,1,Medium,59.0,1
297,UHF,1944.39,Hills,1.07,1,High,24.0,0
298,UHF,2600.46,Plain,10.1,0,Medium,35.0,1
299,VHF,266.31,Mountains,1.31,1,Medium,34.0,0
300,VHF,273.31,Hills,4.04,0,Low,44.0,0
301,HF,24.8,Hills,1.2,1,Low,61.0,0
302,VHF,265.51,Urban,4.67,0,Low,58.0,0
303,UHF,2572.44,Mountains,3.05,0,Low,60.0,0
304,VHF,256.85,Forest,8.51,1,Low,71.0,0
305,VHF,118.42,Snow,7.34,0,Low,59.0,0
306,SAT,1893.7,Snow,1.35,0,Low,35.0,0
307,HF,11.56,Mountains,3.59,1,Medium,56.0,0
308,UHF,717.34,Snow,19.73,1,High,36.0,0
309,SAT,1832.06,Mountains,3.7,1,Low,48.0,0
310,SAT,2407.4,Mountains,2.89,0,High,63.0,1
311,UHF,2921.92,Hills,0.5,0,High,52.0,1
312,UHF,706.3,Hills,4.32,1,Low,68.0,1
313,UHF,2087.46,Hills,14.44,0,Medium,55.0,0
314,SAT,2466.96,Mountains,11.87,0,High,25.0,1
315,VHF,85.8,Hills,6.2,1,Low,47.0,0
316,UHF,2568.12,Hills,2.07,1,Medium,68.0,1
317,UHF,1100.5,Mountains,6.7,0,Low,64.0,0
318,SAT,1910.33,Forest,4.04,1,Low,34.0,1
319,VHF,277.39,Hills,4.04,0,High,46.0,0
320,UHF,456.9,Urban,8.56,1,Low,59.0,0
321,UHF,1511.03,Urban,1.35,0,Low,45.0,0
322,UHF,1665.43,Urban,4.34,0,Medium,48.0,0
323,VHF,273.25,Snow,4.6,0,High,60.0,0
324,HF,18.49,Mountains,12.99,1,High,92.0,0
325,VHF,285.17,Forest,0.5,0,Low,61.0,0
326,UHF,1158.27,Forest,3.26,0,Low,69.0,0
327,VHF,163.29,Hills,1.53,1,High,37.0,0
328,HF,3.61,Forest,9.07,1,Low,30.0,0
329,SAT,2488.78,Mountains,1.8,1,Low,37.0,0
330,HF,9.3,Hills,1.64,0,Low,51.0,0
331,SAT,2428.81,Mountains,5.64,1,High,60.0,1
332,VHF,138.06,Urban,1.67,1,High,65.0,1
333,SAT,1665.2,Mountains,2.58,0,Medium,73.0,1
334,SAT,1919.87,Urban,0.5,0,Medium,80.0,0
335,SAT,1824.01,Plain,2.2,1,Low,13.0,1
336,UHF,2869.89,Mountains,6.07,0,Medium,35.0,0
337,HF,23.82,Urban,4.02,0,Low,88.0,0
338,VHF,86.01,Forest,0.77,0,Medium,62.0,0
339,SAT,2040.11,Hills,8.58,0,Low,53.0,1
340,UHF,2108.81,Plain,2.04,0,Low,10.0,0
341,UHF,1864.19,Urban,10.52,0,High,29.0,1
342,VHF,277.51,Hills,9.23,1,High,73.0,1
343,UHF,605.06,Snow,0.79,0,Medium,46.0,0
344,VHF,40.92,Snow,12.02,1,Low,66.0,0
345,HF,19.52,Plain,0.5,0,Low,47.0,1
346,UHF,2312.36,Urban,2.67,1,High,99.0,0
347,HF,24.86,Snow,0.92,1,Low,54.0,0
348,UHF,870.05,Mountains,0.63,1,High,25.0,0
349,HF,8.13,Forest,0.6,1,Medium,67.0,0
350,HF,25.64,Forest,0.5,0,High,56.0,1
351,VHF,121.13,Mountains,7.85,0,Low,43.0,0
352,SAT,2159.67,Snow,1.52,0,High,59.0,0
353,SAT,1650.81,Forest,0.5,1,High,76.0,0
354,HF,24.63,Plain,1.26,0,High,50.0,0
355,UHF,2894.38,Urban,0.5,1,High,36.0,0
356,HF,29.23,Snow,0.5,1,Low,59.0,0
357,SAT,2019.01,Snow,7.91,1,High,42.0,0
358,UHF,946.1,Forest,0.5,1,Low,62.0,0
359,VHF,68.07,Plain,10.01,1,Medium,80.0,0
360,UHF,963.48,Urban,1.13,1,High,32.0,1
361,VHF,197.84,Snow,15.24,1,Low,18.0,0
362,SAT,1935.88,Forest,7.08,0,Medium,100.0,0
363,UHF,1588.99,Plain,1.41,1,Medium,58.0,0
364,UHF,1580.57,Snow,1.73,0,High,30.0,1
365,UHF,2442.3,Hills,1.59,0,Low,35.0,1
366,SAT,2331.35,Hills,1.24,0,High,46.0,0
367,HF,3.38,Mountains,1.41,0,Low,61.0,0
368,VHF,277.92,Urban,4.59,0,High,10.0,0
369,UHF,1348.75,Snow,5.32,1,High,69.0,0
370,SAT,1740.82,Urban,1.19,0,Low,41.0,0
371,SAT,2496.02,Mountains,9.41,1,High,85.0,0
372,HF,6.31,Plain,7.29,1,High,63.0,1
373,HF,11.67,Forest,3.36,0,High,73.0,1
374,SAT,2407.1,Mountains,0.8,0,Low,50.0,0
375,VHF,158.42,Plain,2.54,1,Medium,60.0,0
376,VHF,279.97,Urban,2.43,0,High,83.0,1
377,UHF,952.09,Urban,11.57,1,Medium,38.0,0
378,SAT,1907.42,Forest,9.95,0,High,64.0,0
379,SAT,1551.65,Snow,0.5,0,High,66.0,0
380,HF,15.27,Snow,0.5,0,High,82.0,0
381,VHF,30.13,Urban,7.41,1,Medium,42.0,0
382,HF,11.56,Mountains,0.59,1,High,38.0,0
383,SAT,2215.11,Plain,1.12,1,High,79.0,0
384,HF,22.55,Hills,14.61,0,Low,50.0,1
385,SAT,1927.79,Mountains,2.24,1,Medium,37.0,0
386,SAT,1512.96,Urban,9.14,0,Low,45.0,0
387,UHF,653.7,Hills,0.9,1,Medium,27.0,0
388,HF,9.54,Mountains,5.7,0,Medium,54.0,0
389,HF,3.44,Plain,4.93,1,Medium,10.0,0
390,SAT,1717.02,Urban,6.65,1,Low,60.0,0
391,HF,17.14,Forest,1.73,0,Medium,24.0,0
392,VHF,63.94,Snow,0.74,1,High,80.0,0
393,SAT,2366.28,Snow,0.5,1,Medium,41.0,1
394,SAT,1559.98,Plain,5.72,1,Medium,38.0,0
395,VHF,239.48,Hills,5.44,0,Medium,56.0,1
396,UHF,1504.99,Snow,0.5,0,High,63.0,0
397,HF,19.55,Forest,4.57,1,High,56.0,0
398,UHF,1605.35,Forest,0.78,0,Medium,23.0,0
399,VHF,145.61,Plain,0.5,1,Medium,57.0,0
400,UHF,2136.91,Mountains,3.65,1,High,53.0,1
401,SAT,1727.13,Forest,1.28,0,High,53.0,1
402,UHF,1614.28,Mountains,3.86,1,Medium,67.0,1
403,HF,24.8,Forest,6.31,0,High,40.0,0
404,SAT,1655.14,Forest,13.01,1,Low,32.0,0
405,HF,5.5,Snow,2.09,0,High,67.0,0
406,SAT,2103.61,Mountains,2.75,0,High,16.0,0
407,HF,29.02,Plain,0.89,0,Low,61.0,0
408,VHF,145.89,Snow,6.39,0,High,31.0,1
409,SAT,2314.63,Snow,8.66,1,Low,83.0,0
410,SAT,1970.23,Hills,6.09,1,Low,26.0,1
411,HF,9.34,Urban,2.92,0,High,26.0,1
412,SAT,1985.07,Urban,4.11,0,Medium,100.0,1
413,VHF,149.31,Mountains,1.24,1,Low,80.0,0
414,VHF,98.14,Snow,6.65,1,Low,39.0,0
415,VHF,125.35,Forest,5.41,1,Medium,30.0,0
416,HF,13.59,Snow,12.94,1,High,36.0,1
417,HF,26.2,Mountains,4.19,0,Medium,62.0,0
418,SAT,1807.48,Plain,6.92,0,Medium,61.0,1
419,UHF,2797.91,Urban,3.47,0,Low,47.0,0
420,VHF,33.64,Hills,9.02,1,Medium,89.0,0
421,VHF,64.67,Forest,4.5,0,Medium,39.0,0
422,HF,3.73,Hills,3.13,0,Medium,17.0,0
423,VHF,237.27,Mountains,0.78,1,High,100.0,1
424,VHF,63.63,Snow,8.14,0,Medium,73.0,0
425,HF,18.5,Mountains,8.28,0,High,51.0,1
426,SAT,2277.88,Snow,1.89,0,High,59.0,0
427,UHF,1621.27,Mountains,2.93,0,Medium,57.0,0
428,HF,5.64,Snow,2.66,1,High,23.0,0
429,HF,25.61,Mountains,2.06,1,High,55.0,0
430,SAT,1706.22,Urban,3.41,0,Medium,64.0,1
431,HF,5.55,Hills,3.51,1,High,63.0,0
432,SAT,2267.53,Mountains,0.5,0,Medium,10.0,0
433,VHF,37.53,Snow,1.5,1,Low,59.0,0
434,UHF,1968.02,Hills,0.5,1,Low,64.0,1
435,SAT,1920.38,Snow,6.5,0,Medium,54.0,0
436,HF,14.73,Mountains,6.34,0,High,31.0,0
437,SAT,2304.43,Urban,1.71,1,Low,81.0,0
438,UHF,426.08,Plain,4.35,0,Medium,54.0,0
439,SAT,2241.65,Snow,2.81,0,Medium,51.0,0
440,HF,22.05,Hills,0.84,1,Low,52.0,1
441,UHF,2701.17,Urban,5.57,0,Low,26.0,0
442,VHF,185.83,Snow,7.43,1,Low,94.0,0
443,VHF,73.23,Snow,2.04,1,High,78.0,0
444,UHF,425.52,Hills,3.58,1,Medium,41.0,0
445,UHF,1493.44,Snow,1.0,0,High,17.0,1
446,UHF,2244.56,Mountains,0.5,0,Medium,66.0,0
447,SAT,1542.31,Forest,1.53,0,Low,70.0,0
448,SAT,1748.25,Forest,8.56,0,High,56.0,0
449,HF,23.81,Plain,7.35,1,High,48.0,1
450,UHF,922.15,Plain,1.34,1,Medium,22.0,0
451,HF,13.29,Urban,0.5,0,Low,67.0,0
452,UHF,2316.67,Forest,8.81,0,Low,21.0,1
453,SAT,1930.43,Forest,4.85,0,Low,61.0,1
454,HF,23.83,Forest,0.5,0,High,70.0,1
455,VHF,102.96,Hills,6.21,0,High,49.0,0
456,VHF,288.68,Forest,3.67,0,Low,50.0,0
457,UHF,553.28,Mountains,0.74,1,High,10.0,0
458,UHF,2328.94,Forest,0.5,1,Low,36.0,0
459,VHF,50.03,Hills,9.17,0,Medium,45.0,1
460,SAT,2345.12,Mountains,1.68,1,Medium,23.0,0
461,UHF,668.55,Snow,3.96,0,High,81.0,1
462,HF,18.83,Snow,0.81,0,Medium,39.0,0
463,UHF,1200.63,Forest,5.67,1,Medium,46.0,0
464,VHF,193.28,Urban,0.5,1,Medium,91.0,0
465,SAT,1547.82,Snow,9.05,1,Medium,75.0,0
466,HF,26.8,Mountains,4.18,0,High,90.0,0
467,HF,22.28,Hills,0.53,0,Medium,81.0,1
468,SAT,1845.67,Hills,4.06,1,Medium,69.0,0
469,SAT,1970.54,Plain,2.71,1,Low,39.0,0
470,SAT,2126.21,Snow,1.6,0,Medium,26.0,0
471,SAT,2117.81,Plain,5.6,0,Low,71.0,0
472,SAT,2139.74,Forest,8.31,1,Medium,44.0,1
