previous_ammo_used,enemy_count,operation_duration,weather,terrain,recommended_ammo_level
72,466,59,clear,urban,high
462,222,125,rain,urban,medium
79,225,143,fog,plains,high
856,235,30,fog,mountain,low
157,479,170,fog,plains,low
416,140,122,snow,mountain,high
330,85,125,clear,plains,low
177,485,37,fog,urban,medium
278,295,170,clear,urban,low
160,483,124,snow,mountain,high
185,286,101,fog,plains,high
411,165,35,snow,mountain,medium
235,257,87,snow,urban,high
705,227,134,clear,plains,medium
633,199,196,fog,plains,low
178,426,18,snow,mountain,low
925,478,113,fog,forest,medium
310,172,29,clear,mountain,medium
564,189,77,snow,urban,high
498,43,59,clear,urban,low
949,50,175,fog,urban,medium
153,316,126,fog,urban,low
532,440,145,clear,urban,medium
273,347,109,rain,forest,low
881,323,22,snow,plains,high
923,84,68,fog,mountain,low
915,450,69,fog,mountain,low
540,288,165,snow,urban,low
522,185,49,clear,mountain,low
59,393,141,clear,urban,low
454,159,162,clear,forest,high
945,282,109,rain,forest,medium
351,334,86,rain,plains,low
280,117,53,fog,forest,high
780,148,123,clear,forest,low
972,359,87,snow,plains,low
115,280,179,fog,mountain,medium
986,356,131,snow,urban,low
161,428,42,fog,urban,high
62,298,98,rain,mountain,high
442,221,160,fog,plains,medium
549,390,109,rain,mountain,low
981,281,51,fog,forest,high
647,427,85,clear,plains,low
283,75,174,snow,plains,low
651,492,127,clear,plains,low
363,433,21,fog,urban,medium
615,257,44,fog,mountain,low
61,165,139,fog,plains,high
258,56,103,rain,plains,low
63,432,68,snow,plains,high
682,463,129,snow,mountain,low
467,210,92,fog,urban,high
486,157,191,fog,forest,high
426,133,24,rain,urban,low
69,10,125,clear,plains,low
636,465,141,clear,urban,high
961,256,111,snow,urban,medium
804,352,98,rain,forest,low
784,137,139,fog,mountain,medium
119,200,179,snow,mountain,low
873,76,17,rain,urban,low
260,13,99,clear,urban,low
150,451,82,rain,mountain,low
747,418,104,clear,mountain,medium
181,312,152,rain,forest,low
672,303,19,snow,plains,high
430,152,165,clear,urban,high
181,200,85,snow,mountain,medium
69,30,8,snow,urban,low
955,236,28,clear,urban,high
585,322,5,clear,mountain,medium
276,126,145,fog,forest,low
203,446,101,fog,urban,high
854,311,164,fog,forest,high
791,151,118,snow,mountain,medium
518,493,147,snow,plains,low
871,469,64,fog,plains,low
920,410,91,snow,urban,high
454,48,117,snow,mountain,high
251,402,98,clear,forest,high
87,364,11,clear,urban,low
991,261,54,snow,mountain,medium
821,342,173,fog,mountain,medium
237,216,47,rain,forest,low
106,219,140,fog,urban,medium
990,124,149,rain,mountain,high
69,234,139,fog,mountain,medium
322,143,5,clear,mountain,medium
168,260,184,snow,forest,medium
632,228,20,snow,urban,high
565,416,169,clear,urban,low
270,452,46,rain,urban,high
575,100,12,rain,urban,low
564,363,70,rain,plains,low
777,385,17,clear,plains,low
790,55,115,rain,urban,medium
385,47,147,clear,forest,medium
747,151,154,fog,plains,low
104,109,48,fog,mountain,low
549,337,108,clear,plains,medium
949,199,52,snow,mountain,high
937,44,96,fog,urban,low
815,156,70,rain,plains,high
585,39,183,clear,forest,medium
211,343,102,rain,plains,low
719,93,75,rain,plains,high
643,378,161,snow,plains,high
964,290,190,rain,urban,high
208,433,151,snow,forest,medium
237,353,143,fog,plains,medium
109,279,155,clear,forest,high
964,163,192,rain,urban,high
866,111,179,clear,mountain,medium
368,224,181,rain,plains,high
927,159,82,clear,forest,high
260,441,92,rain,forest,medium
455,92,179,rain,urban,high
713,119,175,rain,plains,high
158,444,4,rain,mountain,high
125,396,135,rain,forest,medium
591,435,109,rain,plains,high
363,284,163,rain,mountain,medium
166,210,48,rain,forest,medium
976,293,73,rain,forest,low
917,477,72,clear,mountain,low
753,182,116,snow,mountain,high
68,336,173,rain,urban,medium
481,215,81,snow,plains,low
734,72,81,rain,plains,high
789,82,113,rain,urban,low
399,260,96,clear,forest,low
232,133,72,fog,mountain,medium
162,384,147,fog,mountain,medium
232,130,63,clear,mountain,low
530,284,38,snow,forest,low
195,440,67,fog,mountain,medium
880,407,187,clear,mountain,high
677,129,69,clear,urban,medium
162,431,13,fog,forest,low
812,446,175,snow,plains,high
525,326,189,clear,urban,low
812,173,31,rain,urban,high
352,433,114,snow,plains,low
874,474,22,snow,urban,high
167,295,93,fog,forest,high
862,274,171,fog,mountain,low
210,329,67,rain,forest,high
450,170,54,clear,plains,medium
247,385,138,fog,plains,low
309,317,42,fog,urban,medium
709,98,64,snow,forest,low
801,151,126,fog,forest,high
96,212,21,fog,plains,high
448,318,194,fog,forest,high
759,236,169,fog,plains,low
608,498,152,snow,forest,medium
127,452,35,rain,forest,medium
173,343,184,rain,forest,low
124,231,30,clear,plains,low
920,50,57,fog,urban,medium
186,205,47,snow,forest,medium
651,77,163,clear,plains,medium
449,485,19,clear,plains,medium
886,273,114,rain,forest,low
554,11,8,snow,forest,low
549,370,26,snow,urban,high
622,134,113,snow,plains,medium
187,119,71,rain,plains,high
99,95,30,rain,mountain,low
820,434,135,rain,plains,low
668,129,67,rain,urban,high
674,136,65,rain,mountain,medium
911,264,36,fog,mountain,medium
303,192,25,fog,mountain,medium
679,25,37,snow,forest,medium
759,486,1,clear,forest,high
898,71,143,snow,plains,high
926,378,37,clear,mountain,low
612,441,141,rain,urban,medium
806,167,136,clear,forest,medium
964,277,133,snow,urban,medium
475,44,188,snow,urban,high
596,276,128,clear,forest,medium
351,73,127,fog,forest,high
971,59,1,rain,forest,medium
630,478,164,rain,forest,medium
398,264,35,snow,mountain,low
881,158,194,fog,mountain,medium
982,334,191,clear,mountain,medium
98,313,104,rain,mountain,low
966,285,23,fog,plains,high
123,366,9,rain,mountain,high
753,460,34,fog,forest,medium
310,181,174,fog,urban,high
405,426,128,snow,mountain,medium
631,210,4,rain,plains,low
651,454,158,clear,forest,low
309,402,102,snow,urban,medium
687,333,75,snow,urban,low
792,44,99,clear,mountain,low
344,474,72,snow,urban,medium
980,491,3,fog,mountain,medium
690,225,142,fog,mountain,low
841,489,188,rain,forest,high
362,74,173,rain,forest,high
661,17,34,clear,plains,medium
887,310,45,rain,forest,medium
858,352,61,fog,forest,high
231,440,83,clear,mountain,low
735,433,123,clear,forest,high
877,341,102,rain,mountain,high
413,447,16,fog,mountain,high
237,85,66,clear,forest,high
618,183,168,fog,plains,medium
592,56,145,fog,plains,medium
645,24,119,fog,urban,low
713,370,162,rain,urban,low
597,156,124,snow,forest,low
774,35,144,snow,plains,low
975,317,102,clear,mountain,high
457,102,188,fog,urban,medium
925,415,66,rain,mountain,medium
667,241,194,fog,urban,low
463,30,13,fog,forest,low
391,316,184,rain,plains,high
269,47,111,snow,urban,high
952,285,159,fog,plains,low
212,166,34,fog,mountain,medium
269,188,39,snow,forest,medium
319,141,195,rain,plains,medium
681,320,136,clear,forest,low
955,464,120,snow,plains,medium
897,357,126,clear,mountain,high
449,37,55,clear,mountain,high
231,269,27,snow,forest,low
667,415,118,fog,mountain,high
778,85,53,clear,urban,low
254,438,39,clear,plains,medium
631,76,65,rain,mountain,medium
605,351,145,fog,urban,medium
890,203,158,clear,forest,high
862,481,181,rain,urban,low
277,171,13,fog,forest,medium
745,356,21,snow,forest,low
668,448,147,snow,plains,medium
645,370,53,rain,plains,high
899,266,19,snow,urban,high
299,81,57,clear,plains,low
924,96,25,fog,plains,high
490,431,31,clear,plains,high
582,271,81,clear,urban,low
245,223,183,snow,mountain,medium
739,162,23,clear,plains,high
978,219,32,snow,plains,low
568,410,190,fog,urban,high
119,70,74,fog,mountain,high
688,277,10,clear,plains,high
448,271,54,rain,forest,high
721,227,52,snow,urban,low
809,292,148,snow,plains,low
252,145,160,clear,plains,low
197,476,114,snow,forest,high
521,389,14,snow,forest,high
704,371,178,rain,urban,high
993,458,156,rain,urban,low
248,450,110,clear,forest,high
966,102,53,rain,urban,medium
475,118,152,clear,forest,high
715,250,79,fog,plains,medium
541,364,22,clear,forest,high
937,433,30,fog,forest,low
945,151,191,clear,mountain,high
191,300,4,snow,forest,medium
362,441,59,rain,forest,medium
214,246,8,fog,mountain,high
363,349,12,clear,urban,medium
70,321,119,rain,mountain,medium
131,186,159,clear,plains,low
630,150,34,rain,mountain,high
180,198,82,rain,plains,high
648,495,98,clear,urban,high
779,58,127,fog,mountain,medium
982,311,75,fog,mountain,high
354,378,105,snow,urban,high
964,199,49,rain,plains,low
420,145,79,snow,mountain,low
906,52,185,snow,plains,low
902,413,93,clear,mountain,medium
433,389,154,clear,forest,high
957,362,18,clear,mountain,low
494,99,96,rain,urban,low
474,304,38,clear,urban,low
210,350,87,clear,plains,high
227,254,88,rain,mountain,high
678,442,50,rain,plains,high
757,201,8,fog,plains,medium
944,327,169,clear,forest,medium
539,115,134,clear,forest,low
376,372,69,clear,urban,high
647,319,172,fog,plains,low
338,391,121,clear,urban,high
642,242,64,fog,mountain,high
713,274,157,snow,plains,high
622,353,156,fog,plains,medium
622,46,139,snow,mountain,medium
403,314,121,clear,mountain,high
77,50,65,snow,urban,low
92,26,107,fog,urban,high
730,353,147,rain,mountain,high
472,286,137,snow,urban,low
