reaction_time,teamwork_score,discipline_score,stress_level,sleep_hours
276,2,3,6,7.5
230,6,9,4,5.3
313,8,3,3,4.8
269,2,3,2,5.8
301,9,5,6,7.9
352,8,7,8,8.6
217,1,8,6,6.3
313,7,7,9,7.0
337,6,9,5,8.4
340,6,5,2,3.6
231,6,3,8,4.4
320,6,6,9,7.3
360,7,5,4,7.9
317,3,4,6,8.1
294,6,2,8,5.5
356,3,7,9,3.5
265,7,5,5,5.6
223,7,4,6,4.4
289,8,8,4,4.7
326,2,9,5,7.6
351,9,9,7,3.5
326,5,3,9,8.0
341,9,3,6,5.6
352,5,5,6,6.6
283,7,5,8,3.5
292,9,2,4,5.0
364,4,1,3,3.5
239,2,8,7,8.8
321,9,3,5,7.8
264,2,1,2,5.8
355,3,1,2,4.3
299,2,2,6,8.6
300,3,6,8,5.1
386,6,6,1,4.0
246,3,3,6,6.4
310,8,4,2,8.7
290,6,2,2,3.0
326,7,2,7,4.4
396,1,7,1,8.6
269,3,1,6,4.0
240,3,7,7,3.7
259,2,1,8,6.4
288,7,6,7,8.2
303,9,3,6,5.9
305,4,8,9,9.0
390,5,6,3,7.1
381,3,2,6,3.4
365,9,8,4,9.0
425,4,5,2,5.4
341,5,8,1,4.7
355,1,8,1,6.3
340,2,6,3,4.8
332,9,2,4,3.5
319,2,8,2,3.0
280,5,6,1,5.7
237,8,6,4,8.0
293,3,8,7,6.4
328,6,1,6,9.0
303,4,2,6,4.7
246,7,9,9,4.7
291,3,8,2,4.0
289,6,7,4,4.0
296,9,7,5,4.7
324,1,5,1,7.8
335,3,2,8,8.4
274,2,6,8,8.9
349,8,3,6,4.4
356,7,4,5,8.3
316,2,2,8,5.0
333,6,2,3,3.7
349,3,8,3,8.2
245,8,8,2,6.8
352,3,6,5,4.0
260,9,5,3,5.6
265,1,8,3,4.7
309,5,4,6,7.4
192,3,4,8,5.7
308,6,5,2,8.9
349,2,1,4,3.3
217,9,1,7,5.1
354,6,2,1,5.9
265,7,8,1,6.0
310,5,7,7,4.9
272,9,9,7,7.4
328,1,5,1,8.2
351,5,2,1,8.6
332,6,7,4,7.8
299,7,8,5,8.1
276,4,7,5,6.3
296,1,7,4,8.0
332,8,5,8,4.8
334,4,2,7,5.4
327,3,6,9,4.9
235,7,4,7,5.8
298,2,2,1,4.7
268,8,9,7,8.8
333,6,7,1,4.9
261,7,6,7,3.6
322,5,5,8,6.2
285,9,3,9,3.3
206,5,4,3,3.7
346,5,3,4,4.3
298,3,8,4,5.8
363,1,3,9,5.6
216,2,7,7,7.8
285,8,7,3,7.4
289,1,7,5,5.6
313,7,7,7,5.0
233,5,2,8,4.9
327,3,3,1,7.6
395,7,9,2,3.3
323,9,3,7,3.1
304,2,2,2,7.8
231,8,9,7,5.9
261,9,9,9,3.8
297,3,4,2,4.4
273,2,9,7,8.6
351,7,3,4,8.2
326,5,7,2,7.3
434,5,7,7,5.9
250,5,8,5,6.1
301,4,4,1,8.9
230,5,3,5,8.8
188,4,3,3,4.3
336,6,5,7,7.9
324,4,1,6,4.2
257,2,3,8,4.3
304,9,6,5,7.1
268,2,3,2,5.4
275,9,5,9,8.6
