route_id,length_km,bridges_count,landslide_zone_km,rainfall_mm_24h,road_type,elevation_gain_m,cell_coverage_pct,ambush_cover_score_1to5,route_risk
99,149.0,5,19.3,86.0,Mixed,1111.0,59.0,5,Medium
100,130.7,3,20.5,149.0,Unpaved,1391.0,52.0,1,Medium
101,124.2,4,5.7,245.0,Unpaved,705.0,0.0,2,High
102,219.2,5,1.0,82.0,Unpaved,0.0,100.0,2,Low
103,151.6,6,7.1,46.0,Unpaved,170.0,95.0,4,Medium
104,171.8,2,10.4,89.0,Mixed,1442.0,26.0,1,Low
105,138.2,7,9.1,73.0,Mixed,1823.0,39.0,2,Low
106,152.2,3,22.8,325.0,Mixed,1600.0,51.0,1,Medium
107,103.3,5,25.0,181.0,Mixed,537.0,72.0,4,Medium
108,130.2,5,9.7,143.0,Unpaved,603.0,67.0,1,Low
109,78.8,4,10.3,164.0,Unpaved,1244.0,28.0,2,Medium
110,89.5,6,1.4,67.0,Paved,1160.0,100.0,2,Low
111,149.4,4,5.0,145.0,Paved,0.0,45.0,4,Medium
112,77.8,3,4.0,123.0,Unpaved,826.0,100.0,3,Low
113,127.8,4,4.2,178.0,Paved,768.0,40.0,5,Medium
114,97.9,3,13.0,102.0,Unpaved,109.0,81.0,5,Medium
115,52.6,1,6.7,94.0,Paved,442.0,64.0,2,Low
116,133.7,4,7.0,33.0,Paved,958.0,34.0,1,Low
117,166.5,4,2.8,310.0,Paved,669.0,70.0,3,Medium
118,41.1,3,1.8,164.0,Paved,1359.0,60.0,4,Medium
119,156.5,4,5.3,82.0,Unpaved,1856.0,78.0,5,Medium
120,53.1,1,0.6,106.0,Paved,1367.0,36.0,3,Low
121,201.3,8,1.7,79.0,Unpaved,1068.0,53.0,4,Medium
122,154.0,4,17.1,282.0,Paved,711.0,75.0,2,Medium
123,41.1,4,5.8,144.0,Paved,1278.0,9.0,4,Medium
124,171.2,4,37.5,92.0,Paved,426.0,26.0,3,Medium
125,83.2,4,0.0,220.0,Unpaved,472.0,56.0,4,High
126,62.1,4,25.3,0.0,Mixed,61.0,60.0,1,Low
127,163.3,3,10.6,135.0,Unpaved,0.0,53.0,3,Medium
128,192.4,2,9.8,72.0,Mixed,1568.0,75.0,5,Low
129,148.6,3,18.3,99.0,Mixed,962.0,52.0,5,Medium
130,97.7,4,9.9,167.0,Unpaved,1119.0,81.0,2,Medium
131,130.2,5,0.4,60.0,Paved,724.0,63.0,3,Low
132,85.1,4,23.6,171.0,Paved,1934.0,27.0,1,Medium
133,109.5,5,20.6,69.0,Unpaved,1855.0,59.0,5,High
134,144.5,5,7.3,41.0,Mixed,790.0,53.0,1,Low
135,34.4,2,1.3,87.0,Unpaved,783.0,38.0,3,Medium
136,146.8,5,17.2,191.0,Paved,668.0,17.0,3,High
137,35.3,2,7.5,183.0,Mixed,131.0,26.0,1,Low
138,43.6,2,3.9,113.0,Mixed,554.0,34.0,5,Medium
139,159.2,4,50.1,143.0,Mixed,611.0,81.0,2,Medium
140,69.4,1,1.8,259.0,Unpaved,0.0,47.0,5,High
141,60.5,2,1.8,212.0,Unpaved,0.0,86.0,4,Medium
142,102.3,5,9.2,94.0,Mixed,761.0,29.0,4,Medium
143,84.5,6,3.1,8.0,Paved,1299.0,37.0,3,Low
144,133.9,4,5.3,189.0,Mixed,338.0,41.0,2,Low
145,130.5,4,2.8,109.0,Paved,1850.0,48.0,4,Low
146,60.9,7,15.3,6.0,Unpaved,631.0,61.0,1,Low
147,17.3,7,3.2,150.0,Unpaved,292.0,71.0,5,High
148,107.8,2,18.5,173.0,Paved,0.0,86.0,2,Low
149,186.0,4,13.3,71.0,Paved,859.0,0.0,2,Low
150,116.1,4,3.5,250.0,Unpaved,0.0,100.0,2,Medium
151,99.1,5,16.0,135.0,Unpaved,350.0,28.0,3,High
152,223.8,2,3.8,164.0,Unpaved,827.0,58.0,3,Medium
153,165.2,3,5.2,56.0,Unpaved,0.0,79.0,1,Low
154,16.3,4,0.8,143.0,Paved,486.0,71.0,1,Low
155,103.3,7,8.4,105.0,Mixed,815.0,83.0,3,Low
156,133.4,2,16.9,289.0,Unpaved,69.0,80.0,4,High
157,55.9,5,9.8,102.0,Paved,1191.0,65.0,5,Medium
158,102.4,6,8.0,125.0,Unpaved,1365.0,74.0,5,High
159,121.3,4,22.8,49.0,Mixed,194.0,24.0,2,Low
160,106.6,1,5.8,241.0,Paved,680.0,37.0,1,Low
161,47.4,9,54.7,101.0,Unpaved,725.0,31.0,4,High
162,208.1,4,6.2,38.0,Mixed,1008.0,0.0,5,Medium
163,136.0,3,10.3,183.0,Paved,621.0,32.0,2,Low
164,68.4,4,0.5,187.0,Paved,367.0,29.0,2,Low
165,172.6,2,12.0,91.0,Mixed,166.0,32.0,1,Low
166,115.1,2,3.8,49.0,Mixed,1302.0,72.0,5,Low
167,179.5,1,1.4,129.0,Unpaved,453.0,36.0,5,High
168,113.7,3,1.6,100.0,Unpaved,334.0,76.0,4,Medium
169,31.4,6,7.1,108.0,Mixed,1428.0,16.0,1,Low
170,56.0,4,8.9,169.0,Mixed,887.0,39.0,1,Low
171,188.5,4,12.1,181.0,Unpaved,187.0,45.0,3,High
172,182.0,1,5.9,139.0,Mixed,683.0,85.0,5,Low
173,40.2,2,20.0,52.0,Paved,218.0,57.0,3,Low
174,203.6,5,0.7,0.0,Mixed,92.0,62.0,4,Low
175,181.5,6,1.3,133.0,Mixed,473.0,28.0,2,Low
176,81.9,3,2.6,0.0,Mixed,677.0,76.0,1,Low
177,115.3,2,1.1,84.0,Unpaved,430.0,54.0,5,Medium
178,10.0,2,14.1,153.0,Paved,1125.0,11.0,3,Medium
179,78.0,4,4.5,152.0,Paved,1191.0,73.0,2,Low
180,107.3,1,9.3,122.0,Mixed,375.0,62.0,4,Low
181,138.6,2,14.5,140.0,Unpaved,695.0,46.0,5,High
182,113.1,5,7.9,166.0,Unpaved,517.0,46.0,5,High
183,128.3,1,7.6,38.0,Mixed,206.0,28.0,1,Low
184,61.9,6,6.0,62.0,Mixed,894.0,84.0,1,Low
185,139.4,6,11.9,170.0,Unpaved,0.0,73.0,3,Medium
186,221.0,3,7.5,157.0,Unpaved,224.0,29.0,3,High
187,146.4,5,5.2,109.0,Paved,102.0,56.0,4,Low
188,122.0,7,9.6,200.0,Mixed,258.0,37.0,2,Medium
189,75.6,7,32.6,232.0,Unpaved,149.0,23.0,4,High
190,98.6,4,16.5,84.0,Unpaved,0.0,94.0,5,Medium
191,41.3,3,5.9,200.0,Paved,625.0,46.0,3,Medium
192,33.3,4,9.4,109.0,Paved,577.0,34.0,4,Medium
193,115.8,5,5.0,9.0,Mixed,794.0,25.0,4,Low
194,153.3,3,7.3,146.0,Paved,941.0,49.0,1,Low
195,68.7,1,13.2,205.0,Mixed,1043.0,2.0,4,High
196,191.7,4,18.2,91.0,Paved,317.0,51.0,2,Low
197,86.3,4,0.6,220.0,Mixed,837.0,85.0,4,Medium
198,114.6,3,1.8,120.0,Mixed,643.0,78.0,2,Low
199,176.7,3,8.7,185.0,Mixed,735.0,67.0,2,Low
200,101.2,2,12.2,187.0,Unpaved,526.0,100.0,5,High
201,157.7,3,10.8,140.0,Mixed,319.0,61.0,4,Medium
202,154.4,5,2.9,284.0,Unpaved,653.0,32.0,3,High
203,79.6,2,10.6,234.0,Paved,514.0,76.0,5,Medium
204,81.2,4,6.2,11.0,Unpaved,980.0,58.0,1,Low
205,193.3,3,2.8,0.0,Unpaved,1367.0,56.0,4,Low
206,199.2,4,21.6,167.0,Unpaved,236.0,62.0,5,High
207,157.5,5,7.6,0.0,Paved,478.0,45.0,1,Low
208,67.9,5,19.8,132.0,Mixed,2191.0,100.0,5,Medium
209,172.1,6,5.4,209.0,Mixed,0.0,14.0,5,High
210,103.3,2,10.0,173.0,Paved,0.0,75.0,5,Medium
211,43.9,3,17.0,96.0,Mixed,1432.0,58.0,2,Low
212,81.8,2,4.0,219.0,Mixed,1948.0,66.0,4,Medium
213,106.6,2,19.5,120.0,Mixed,1672.0,45.0,1,Low
214,185.2,3,4.3,140.0,Mixed,988.0,93.0,4,Low
215,71.8,3,2.3,114.0,Paved,541.0,77.0,5,Low
216,62.1,4,13.5,178.0,Mixed,635.0,36.0,2,Medium
217,91.0,2,4.1,58.0,Mixed,1041.0,83.0,3,Low
218,112.7,2,30.7,126.0,Unpaved,1361.0,63.0,5,High
219,160.4,3,16.3,175.0,Unpaved,1122.0,40.0,3,High
220,154.2,4,2.6,276.0,Mixed,0.0,13.0,2,Medium
221,10.0,1,43.1,180.0,Unpaved,94.0,74.0,2,High
222,98.7,3,4.5,0.0,Mixed,967.0,37.0,3,Low
223,127.4,7,8.2,175.0,Mixed,0.0,68.0,2,Low
224,67.8,1,0.8,99.0,Unpaved,0.0,92.0,3,Low
225,73.2,3,0.4,190.0,Mixed,1325.0,35.0,2,Low
226,157.5,3,3.5,39.0,Unpaved,955.0,89.0,3,Low
227,161.0,2,0.1,71.0,Paved,1729.0,26.0,3,Low
228,109.4,5,3.3,119.0,Unpaved,1383.0,92.0,4,Medium
229,144.1,4,7.4,123.0,Paved,426.0,100.0,2,Low
230,147.8,8,11.7,191.0,Unpaved,948.0,77.0,4,High
231,54.2,2,2.9,186.0,Paved,325.0,66.0,4,Medium
232,55.0,4,5.2,65.0,Mixed,0.0,77.0,3,Low
233,96.4,3,4.8,233.0,Mixed,1517.0,47.0,5,High
234,78.4,3,4.0,153.0,Unpaved,683.0,22.0,3,Medium
235,84.2,3,4.9,65.0,Mixed,1609.0,37.0,2,Low
236,114.3,6,6.7,0.0,Unpaved,865.0,100.0,3,Low
237,114.5,3,2.2,228.0,Mixed,967.0,26.0,1,Low
238,10.0,4,6.2,98.0,Mixed,1146.0,79.0,2,Low
239,125.7,4,3.0,90.0,Mixed,690.0,52.0,5,Medium
240,104.9,6,0.7,189.0,Mixed,658.0,46.0,1,Low
241,133.5,3,2.4,50.0,Unpaved,945.0,97.0,3,Low
242,81.5,3,27.2,104.0,Mixed,1548.0,57.0,3,Medium
243,81.9,3,7.0,92.0,Unpaved,1103.0,78.0,5,Medium
244,96.6,9,40.5,132.0,Paved,810.0,100.0,3,Medium
245,184.1,2,2.6,173.0,Mixed,554.0,50.0,5,Medium
246,95.0,5,3.5,194.0,Mixed,729.0,67.0,1,Low
247,186.6,2,10.2,177.0,Paved,282.0,73.0,5,Medium
248,178.6,5,4.4,230.0,Unpaved,211.0,47.0,5,High
249,99.7,6,4.5,86.0,Unpaved,657.0,67.0,2,Low
250,89.3,6,18.6,163.0,Unpaved,804.0,83.0,4,High
251,91.4,2,0.3,104.0,Unpaved,1236.0,75.0,2,Low
252,111.4,4,11.0,130.0,Mixed,122.0,58.0,4,Medium
253,86.5,5,21.2,129.0,Paved,806.0,0.0,1,Medium
254,164.1,5,1.9,39.0,Paved,1056.0,19.0,1,Low
255,81.3,2,5.2,153.0,Paved,211.0,100.0,3,Low
256,171.8,1,16.6,145.0,Paved,524.0,31.0,2,Low
257,64.1,5,7.7,139.0,Paved,1256.0,84.0,3,Low
258,20.0,2,4.4,116.0,Mixed,765.0,24.0,3,Low
259,12.2,3,9.8,0.0,Mixed,0.0,31.0,4,Low
260,87.6,3,3.9,148.0,Unpaved,1265.0,72.0,2,Low
261,71.5,2,9.8,179.0,Mixed,853.0,94.0,2,Low
262,68.8,3,1.6,258.0,Unpaved,0.0,71.0,3,Medium
263,179.0,6,2.6,166.0,Mixed,273.0,64.0,3,Low
264,76.1,8,0.1,327.0,Mixed,724.0,21.0,3,High
265,10.0,4,2.0,141.0,Paved,987.0,2.0,4,Medium
266,153.9,5,1.4,156.0,Unpaved,1417.0,44.0,4,High
267,200.2,6,9.1,125.0,Unpaved,259.0,59.0,5,High
268,147.0,1,28.9,104.0,Unpaved,529.0,54.0,1,Medium
269,79.8,7,2.4,180.0,Unpaved,1330.0,100.0,2,Medium
270,130.3,5,1.4,228.0,Unpaved,1427.0,16.0,2,High
271,71.8,3,7.7,177.0,Mixed,606.0,47.0,1,Low
272,61.7,3,2.0,156.0,Paved,480.0,97.0,3,Low
273,108.1,6,7.8,115.0,Mixed,1100.0,71.0,2,Low
274,116.6,5,7.0,137.0,Mixed,0.0,28.0,2,Low
275,107.8,9,0.2,138.0,Mixed,792.0,0.0,3,Medium
276,220.3,3,33.3,157.0,Paved,784.0,45.0,2,Medium
277,122.6,7,2.2,148.0,Unpaved,519.0,30.0,4,High
278,177.6,3,22.5,76.0,Paved,1083.0,44.0,1,Low
279,253.9,6,4.8,240.0,Unpaved,1455.0,100.0,4,High
280,91.6,7,1.7,280.0,Unpaved,214.0,30.0,4,High
281,128.9,2,1.1,137.0,Paved,363.0,39.0,2,Low
282,169.0,3,7.1,147.0,Paved,1200.0,78.0,4,Low
283,127.3,7,4.5,182.0,Unpaved,0.0,62.0,5,High
284,103.4,2,25.0,88.0,Mixed,481.0,92.0,4,Low
285,260.6,3,2.2,176.0,Unpaved,2101.0,75.0,2,Low
286,191.9,3,12.9,107.0,Paved,913.0,38.0,3,Low
287,10.0,6,2.1,116.0,Paved,630.0,68.0,3,Low
288,201.4,2,20.5,53.0,Mixed,0.0,58.0,2,Low
289,216.0,2,7.1,111.0,Mixed,0.0,11.0,4,Medium
290,191.7,4,17.8,156.0,Unpaved,1438.0,100.0,1,Low
291,165.0,2,5.8,262.0,Unpaved,102.0,28.0,4,High
292,213.1,4,1.9,123.0,Unpaved,827.0,52.0,4,Medium
293,173.0,3,7.8,104.0,Unpaved,1565.0,43.0,1,Low
294,154.7,2,3.2,171.0,Unpaved,501.0,58.0,4,Medium
295,128.0,3,2.0,222.0,Unpaved,524.0,60.0,4,High
296,55.7,2,23.4,237.0,Mixed,1218.0,69.0,5,High
297,37.6,6,8.0,40.0,Unpaved,1613.0,43.0,5,High
298,166.4,2,16.1,147.0,Mixed,1308.0,82.0,2,Low
299,165.3,2,15.0,268.0,Paved,1682.0,38.0,4,High
300,117.4,5,0.0,53.0,Mixed,0.0,42.0,3,Low
301,68.6,6,21.7,155.0,Unpaved,1053.0,12.0,3,High
302,52.2,6,14.8,160.0,Mixed,1570.0,61.0,2,Low
303,98.3,2,3.1,45.0,Unpaved,1070.0,93.0,5,Medium
304,162.1,4,2.6,178.0,Mixed,714.0,49.0,2,Low
305,254.3,3,0.6,183.0,Mixed,65.0,99.0,2,Low
306,118.5,3,1.0,102.0,Unpaved,360.0,28.0,3,Medium
307,137.3,4,2.2,56.0,Mixed,1700.0,21.0,5,Medium
308,187.6,6,0.0,237.0,Unpaved,778.0,90.0,5,High
309,116.2,6,3.8,62.0,Unpaved,422.0,51.0,4,Medium
310,142.1,4,25.5,242.0,Paved,0.0,31.0,2,Medium
311,169.3,5,8.1,166.0,Unpaved,1080.0,62.0,4,High
312,186.1,4,8.7,128.0,Paved,317.0,63.0,1,Low
313,123.2,4,2.7,237.0,Paved,781.0,79.0,3,Low
314,91.2,3,2.6,122.0,Mixed,1835.0,47.0,1,Low
315,132.2,3,4.6,139.0,Paved,1278.0,21.0,1,Low
316,18.2,4,3.0,190.0,Paved,1586.0,48.0,1,Low
317,137.6,5,19.5,94.0,Unpaved,886.0,55.0,5,High
318,172.0,3,2.0,157.0,Paved,1228.0,83.0,4,Low
319,221.9,4,11.2,58.0,Mixed,1598.0,17.0,4,Medium
320,175.5,4,6.7,184.0,Mixed,303.0,46.0,2,Low
321,10.0,3,11.3,92.0,Mixed,778.0,62.0,2,Low
322,203.5,3,18.0,161.0,Mixed,387.0,94.0,2,Low
323,208.0,4,4.2,382.0,Mixed,435.0,38.0,1,Medium
324,64.8,4,7.8,85.0,Paved,711.0,35.0,3,Low
325,96.0,1,6.9,254.0,Paved,228.0,72.0,3,Medium
326,206.3,4,4.7,133.0,Unpaved,578.0,0.0,3,High
327,123.3,4,16.7,197.0,Mixed,1212.0,41.0,4,High
328,84.7,4,0.1,211.0,Mixed,742.0,70.0,5,Medium
329,74.9,2,3.7,194.0,Paved,335.0,64.0,3,Low
330,278.1,2,17.8,157.0,Paved,1272.0,60.0,3,Low
331,167.2,7,20.6,10.0,Unpaved,250.0,14.0,5,High
332,103.3,5,11.8,205.0,Mixed,137.0,23.0,2,Medium
333,205.7,2,4.2,144.0,Mixed,1521.0,89.0,4,Low
334,114.6,2,17.3,91.0,Paved,1307.0,53.0,4,Medium
335,192.7,3,0.9,101.0,Unpaved,596.0,50.0,5,Medium
336,154.9,7,3.1,46.0,Unpaved,1937.0,35.0,1,Low
337,99.7,0,1.0,150.0,Mixed,461.0,55.0,4,Low
338,149.9,0,1.2,108.0,Unpaved,1209.0,43.0,1,Low
339,152.3,5,9.0,117.0,Paved,0.0,76.0,2,Low
340,168.0,3,0.7,192.0,Unpaved,191.0,29.0,4,High
341,217.7,5,11.4,119.0,Mixed,1417.0,76.0,4,Low
342,252.7,5,4.3,157.0,Paved,1652.0,96.0,2,Low
343,144.7,3,0.6,112.0,Unpaved,710.0,70.0,3,Low
344,10.0,1,3.4,155.0,Mixed,2168.0,24.0,3,Low
345,172.6,4,5.1,86.0,Mixed,1585.0,76.0,2,Low
346,104.4,3,4.6,47.0,Paved,382.0,43.0,5,Low
347,18.5,6,7.1,115.0,Unpaved,573.0,42.0,1,Medium
348,161.4,0,7.0,113.0,Paved,0.0,58.0,5,Low
349,146.4,2,4.5,99.0,Unpaved,534.0,49.0,5,High
350,71.7,6,22.9,160.0,Paved,944.0,43.0,4,High
351,48.8,6,2.5,231.0,Paved,824.0,72.0,1,Low
352,203.7,7,4.2,38.0,Paved,818.0,58.0,5,Medium
353,150.4,8,8.1,188.0,Unpaved,1398.0,7.0,3,High
354,72.5,0,2.8,251.0,Mixed,900.0,81.0,5,Medium
355,159.8,5,1.6,191.0,Unpaved,1211.0,85.0,3,Medium
356,94.8,3,0.1,155.0,Unpaved,1068.0,70.0,3,Medium
357,152.7,4,29.1,164.0,Paved,972.0,72.0,1,Low
358,138.8,5,15.3,190.0,Unpaved,1353.0,49.0,4,High
359,10.0,5,22.0,0.0,Mixed,1281.0,25.0,3,Low
360,126.5,5,0.4,0.0,Unpaved,124.0,59.0,2,Low
361,110.0,3,0.8,150.0,Paved,1891.0,94.0,4,Low
362,75.6,3,8.0,143.0,Paved,872.0,62.0,2,Low
363,44.2,5,0.2,235.0,Paved,230.0,97.0,3,Low
364,106.9,3,3.2,135.0,Paved,761.0,98.0,3,Low
365,98.8,3,36.0,91.0,Unpaved,957.0,54.0,1,Medium
366,159.1,3,4.4,37.0,Unpaved,1153.0,43.0,2,Low
367,111.3,4,38.8,110.0,Unpaved,1376.0,44.0,5,High
368,125.3,2,1.3,88.0,Unpaved,1261.0,52.0,5,Medium
369,139.6,5,4.9,160.0,Unpaved,1903.0,31.0,4,High
370,92.2,1,0.1,185.0,Mixed,863.0,69.0,4,Low
371,60.2,3,9.0,59.0,Paved,705.0,79.0,3,Low
372,252.8,9,4.2,196.0,Unpaved,0.0,9.0,2,High
373,115.3,4,7.0,0.0,Unpaved,1382.0,100.0,1,Low
374,107.4,2,15.8,229.0,Mixed,1166.0,42.0,1,Low
375,204.8,1,8.0,78.0,Mixed,461.0,48.0,4,Low
376,233.2,4,10.9,214.0,Paved,946.0,63.0,5,High
377,206.7,4,6.4,90.0,Mixed,794.0,34.0,3,Low
378,96.6,0,13.8,155.0,Paved,905.0,40.0,3,Low
379,140.8,4,9.2,102.0,Mixed,635.0,34.0,5,Medium
380,155.1,6,20.1,187.0,Mixed,868.0,55.0,2,Medium
381,254.2,2,14.1,71.0,Mixed,0.0,40.0,5,Medium
382,145.2,5,2.6,35.0,Unpaved,557.0,64.0,4,Medium
383,147.9,6,7.4,181.0,Mixed,985.0,22.0,5,High
384,59.2,1,20.8,101.0,Unpaved,377.0,66.0,3,Medium
385,44.7,2,19.6,259.0,Paved,1033.0,27.0,1,Medium
386,201.3,6,6.5,173.0,Mixed,2039.0,80.0,2,Low
387,140.7,7,3.8,221.0,Unpaved,107.0,75.0,4,High
388,146.8,4,2.4,226.0,Paved,0.0,2.0,1,Medium
389,184.4,8,2.2,108.0,Paved,1524.0,76.0,5,Medium
390,171.1,1,1.6,140.0,Unpaved,2056.0,0.0,1,Medium
391,163.3,9,79.0,163.0,Paved,1023.0,26.0,2,High
392,158.2,1,10.9,85.0,Unpaved,804.0,81.0,2,Low
393,128.3,7,3.8,97.0,Mixed,413.0,41.0,2,Low
394,132.5,4,3.5,143.0,Paved,1124.0,94.0,3,Low
395,175.0,6,3.6,224.0,Unpaved,791.0,73.0,2,Medium
396,63.7,4,20.6,144.0,Unpaved,1310.0,44.0,4,High
397,57.0,1,7.2,163.0,Paved,0.0,41.0,5,Medium
398,124.9,5,3.2,186.0,Unpaved,996.0,93.0,4,Medium
399,128.9,5,16.0,222.0,Mixed,300.0,43.0,5,High
400,163.5,3,13.9,189.0,Mixed,1368.0,8.0,3,Medium
401,106.7,5,6.3,122.0,Unpaved,113.0,32.0,3,Medium
