engagement_id,unit_type,terrain,weather,visibility_km,target_density,contact_duration_min,rounds_planned,rounds_expended,spend_efficiency,mission_success
51,Artillery,Mountain,Snow,6.8,High,28,182,252,Over,0
52,Mechanized,Forest,Overcast,5.1,High,52,209,369,Over,0
53,Artillery,Desert,Clear,1.5,High,30,220,250,Efficient,1
54,SF,Mountain,Clear,5.0,Low,29,176,73,Under,1
55,Artillery,Mountain,Rain,7.5,Medium,23,151,123,Under,1
56,SF,Snow,Fog,3.5,High,19,191,117,Under,1
57,SF,Desert,Rain,5.7,Medium,52,84,170,Over,0
58,Infantry,Mountain,Fog,2.8,Medium,60,167,260,Over,0
59,Artillery,Desert,Snow,4.2,Medium,20,31,17,Under,1
60,Infantry,Forest,Snow,6.7,Low,56,79,131,Over,0
61,Artillery,Urban,Overcast,4.9,Medium,27,70,56,Under,1
62,Artillery,Mountain,Fog,7.1,High,43,242,400,Over,0
63,Infantry,Snow,Overcast,5.4,Low,56,180,233,Over,0
64,Infantry,Forest,Clear,8.9,High,32,104,131,Over,0
65,Artillery,Desert,Fog,1.4,High,30,209,250,Over,1
66,Mechanized,Forest,Rain,4.1,Low,47,239,254,Efficient,1
67,SF,Mountain,Clear,2.3,High,18,210,135,Under,1
68,Infantry,Desert,Clear,2.5,High,52,168,353,Over,0
69,SF,Urban,Rain,2.5,Low,37,193,137,Under,1
70,Mechanized,Forest,Clear,4.8,High,26,234,184,Under,1
71,Mechanized,Mountain,Fog,5.0,Medium,25,151,121,Under,1
72,Mechanized,Snow,Overcast,5.4,High,14,181,73,Under,1
73,Infantry,Desert,Clear,2.3,Medium,26,164,82,Under,1
74,Mechanized,Forest,Fog,3.9,High,31,83,117,Over,0
75,Infantry,Forest,Snow,2.6,Low,19,234,76,Under,1
76,Mechanized,Urban,Fog,6.4,Low,34,303,253,Under,1
77,SF,Urban,Overcast,2.8,High,42,127,195,Over,0
78,SF,Snow,Fog,4.1,Low,31,237,192,Under,1
79,Artillery,Snow,Rain,5.6,High,44,129,206,Over,0
80,SF,Mountain,Overcast,3.3,Low,22,187,72,Under,1
81,Artillery,Mountain,Snow,5.9,Medium,50,270,480,Over,0
82,SF,Snow,Rain,7.7,High,36,148,180,Over,1
83,Infantry,Snow,Fog,4.9,Medium,58,179,344,Over,0
84,SF,Desert,Overcast,6.3,Medium,71,71,143,Over,0
85,Artillery,Urban,Snow,0.4,High,27,140,149,Efficient,0
86,Artillery,Mountain,Rain,3.6,Medium,28,65,49,Under,1
87,Mechanized,Urban,Snow,4.9,High,31,205,345,Over,0
88,Infantry,Urban,Fog,2.4,Medium,43,229,318,Over,0
89,SF,Snow,Snow,4.9,High,54,166,357,Over,0
90,Mechanized,Desert,Clear,6.6,High,25,197,182,Efficient,1
91,SF,Forest,Rain,0.7,Low,40,160,129,Under,0
92,SF,Desert,Snow,2.1,High,32,224,268,Over,1
93,Mechanized,Desert,Fog,4.9,High,44,187,446,Over,0
94,Mechanized,Urban,Fog,5.4,Medium,57,60,97,Over,0
95,Mechanized,Desert,Snow,6.0,High,31,236,306,Over,0
96,Mechanized,Mountain,Fog,4.7,Low,9,156,33,Under,1
97,Mechanized,Urban,Overcast,5.4,Medium,46,103,109,Efficient,1
98,SF,Mountain,Overcast,6.3,Medium,22,153,99,Under,1
99,Mechanized,Forest,Overcast,3.7,Low,32,65,44,Under,1
100,Infantry,Urban,Clear,3.3,Medium,46,105,148,Over,0
101,Artillery,Forest,Snow,4.2,Medium,39,188,270,Over,0
102,Mechanized,Urban,Clear,4.9,Medium,33,193,200,Efficient,1
103,Mechanized,Snow,Fog,3.2,Medium,26,198,137,Under,1
104,SF,Desert,Clear,3.7,Low,5,180,21,Under,1
105,Mechanized,Snow,Fog,5.3,Low,45,138,175,Over,0
106,Mechanized,Forest,Fog,4.8,Medium,31,176,147,Under,1
107,Mechanized,Desert,Rain,4.1,Medium,57,153,250,Over,0
108,SF,Urban,Overcast,1.0,Low,40,82,52,Under,1
109,Mechanized,Desert,Fog,4.5,Low,26,133,96,Under,1
110,Artillery,Mountain,Rain,2.6,Low,51,233,307,Over,0
111,SF,Desert,Overcast,6.5,Medium,52,275,484,Over,0
112,Artillery,Mountain,Fog,3.9,Medium,31,219,206,Efficient,1
113,SF,Desert,Fog,2.5,High,52,272,580,Over,0
114,Mechanized,Mountain,Clear,4.4,Low,26,185,121,Under,1
115,Artillery,Forest,Clear,7.0,Medium,37,284,267,Efficient,1
116,SF,Snow,Overcast,5.8,Low,43,303,248,Under,1
117,Infantry,Urban,Fog,4.9,Medium,46,75,98,Over,0
118,Mechanized,Desert,Snow,1.8,Low,44,193,204,Efficient,1
119,SF,Snow,Clear,7.7,Medium,30,185,139,Under,1
120,Infantry,Urban,Overcast,3.3,High,51,154,233,Over,0
121,SF,Urban,Fog,6.4,High,33,209,318,Over,0
122,Infantry,Mountain,Fog,3.8,Low,26,182,117,Under,1
123,Mechanized,Forest,Snow,6.2,Medium,26,135,124,Efficient,1
124,Artillery,Forest,Overcast,7.1,Medium,64,178,294,Over,0
125,Infantry,Snow,Fog,5.8,Low,23,252,136,Under,1
126,SF,Forest,Clear,6.0,Medium,54,190,302,Over,0
127,Mechanized,Desert,Snow,4.3,Low,17,217,99,Under,1
128,Infantry,Forest,Overcast,3.6,Medium,42,163,203,Over,1
129,SF,Snow,Snow,4.8,Low,39,207,256,Over,1
130,SF,Forest,Clear,3.8,Medium,59,107,154,Over,0
131,SF,Desert,Overcast,9.4,Low,25,150,98,Under,1
132,Infantry,Mountain,Snow,2.5,Medium,21,173,97,Under,1
133,Infantry,Snow,Rain,6.5,High,33,103,174,Over,0
134,Infantry,Mountain,Clear,5.5,Medium,59,130,189,Over,0
135,Artillery,Mountain,Clear,5.0,Low,21,198,102,Under,1
136,Infantry,Mountain,Clear,7.5,High,5,187,28,Under,1
137,Infantry,Urban,Rain,5.1,Medium,35,228,238,Efficient,1
138,Infantry,Urban,Rain,3.2,High,49,143,320,Over,0
139,Artillery,Mountain,Fog,5.1,Medium,19,183,97,Under,1
140,Infantry,Snow,Snow,4.1,High,47,139,357,Over,0
141,SF,Desert,Fog,5.5,Low,19,222,108,Under,1
142,Infantry,Desert,Snow,6.1,Medium,32,251,312,Over,1
143,SF,Forest,Rain,2.8,Medium,46,208,299,Over,0
144,SF,Snow,Rain,6.9,Low,17,243,111,Under,1
145,SF,Urban,Fog,4.0,High,37,181,207,Efficient,1
146,Artillery,Mountain,Overcast,5.4,Low,53,228,246,Efficient,1
147,Artillery,Forest,Fog,5.7,Low,42,184,235,Over,0
148,Artillery,Desert,Snow,5.2,High,24,118,112,Efficient,1
149,Infantry,Urban,Fog,4.3,Low,57,194,285,Over,0
150,SF,Urban,Clear,3.5,Medium,44,120,110,Efficient,1
151,Artillery,Mountain,Snow,4.0,Medium,7,320,67,Under,1
152,Artillery,Desert,Snow,7.6,Medium,47,159,303,Over,0
153,Infantry,Snow,Overcast,2.8,Low,26,218,96,Under,1
154,Artillery,Urban,Rain,3.1,Medium,37,179,217,Over,1
155,Infantry,Mountain,Snow,3.0,Medium,50,105,174,Over,0
156,Mechanized,Snow,Rain,4.8,Medium,26,66,50,Under,1
157,Artillery,Desert,Fog,1.5,Medium,10,224,64,Under,1
158,Mechanized,Urban,Clear,1.8,Medium,57,272,379,Over,0
159,Infantry,Snow,Overcast,4.0,Medium,52,135,176,Over,0
160,SF,Snow,Rain,1.9,Low,33,80,70,Under,1
161,Artillery,Snow,Snow,2.1,Medium,47,160,223,Over,0
162,Infantry,Urban,Rain,1.9,Medium,29,123,132,Efficient,1
163,SF,Urban,Snow,2.8,High,36,140,212,Over,0
164,SF,Forest,Rain,6.0,Low,32,216,156,Under,1
165,Mechanized,Desert,Snow,6.4,Low,30,176,165,Efficient,1
166,Infantry,Mountain,Fog,8.3,Low,40,130,153,Over,1
167,SF,Snow,Snow,8.3,Low,16,215,72,Under,1
168,Artillery,Forest,Snow,6.1,Medium,31,220,195,Under,1
169,Artillery,Mountain,Clear,6.6,Medium,39,159,173,Efficient,1
170,Mechanized,Forest,Snow,4.8,High,62,188,369,Over,0
171,SF,Urban,Clear,5.5,High,17,211,165,Under,1
172,Infantry,Snow,Overcast,8.4,Low,42,205,222,Efficient,1
173,Artillery,Mountain,Clear,5.2,High,44,182,278,Over,0
174,SF,Mountain,Fog,6.8,High,6,265,62,Under,1
175,SF,Mountain,Clear,2.6,Low,41,214,171,Under,1
176,Mechanized,Mountain,Overcast,3.2,Low,48,152,108,Under,1
177,Artillery,Mountain,Fog,5.1,High,43,153,195,Over,0
178,Artillery,Forest,Rain,4.8,Medium,33,146,188,Over,0
179,Infantry,Snow,Rain,3.3,High,39,217,389,Over,0
180,Artillery,Urban,Clear,9.3,High,37,142,178,Over,0
181,Infantry,Urban,Clear,4.8,Medium,9,154,43,Under,1
182,Artillery,Urban,Overcast,3.6,Medium,37,243,257,Efficient,1
183,Mechanized,Urban,Overcast,4.8,Low,29,191,131,Under,1
184,Artillery,Forest,Snow,4.6,Low,24,251,125,Under,1
185,Infantry,Desert,Overcast,4.9,High,72,227,405,Over,0
186,Infantry,Snow,Snow,1.3,Medium,53,109,213,Over,0
187,Mechanized,Mountain,Fog,7.1,Low,17,173,54,Under,1
188,Artillery,Desert,Clear,7.2,High,40,239,336,Over,0
189,Artillery,Urban,Fog,7.4,Medium,56,106,186,Over,0
190,Mechanized,Desert,Overcast,5.2,High,12,205,78,Under,1
191,Artillery,Snow,Fog,5.8,Low,36,177,172,Efficient,1
192,Artillery,Mountain,Fog,2.8,Low,36,74,59,Under,1
193,Infantry,Mountain,Fog,6.2,Medium,15,187,96,Under,1
194,Artillery,Snow,Overcast,5.0,High,40,129,179,Over,0
195,Artillery,Snow,Fog,3.6,Medium,51,109,228,Over,0
196,Mechanized,Urban,Snow,6.2,Low,57,180,221,Over,1
197,Mechanized,Mountain,Overcast,6.3,Low,31,64,44,Under,1
198,SF,Desert,Fog,4.6,High,72,139,423,Over,0
199,Infantry,Forest,Overcast,5.4,High,5,333,54,Under,1
200,Artillery,Forest,Rain,2.4,High,40,219,257,Over,1
201,Artillery,Snow,Snow,7.0,Medium,13,127,67,Under,1
202,SF,Urban,Fog,2.7,High,36,264,384,Over,0
203,Artillery,Forest,Rain,3.1,High,27,120,97,Under,1
204,Infantry,Mountain,Rain,4.6,Low,42,146,159,Efficient,1
205,SF,Snow,Overcast,6.7,Low,33,111,102,Efficient,1
206,Infantry,Desert,Rain,6.7,High,22,195,167,Under,1
207,SF,Snow,Snow,4.5,High,23,262,249,Efficient,1
208,SF,Desert,Snow,6.0,Low,63,120,253,Over,0
209,Mechanized,Snow,Clear,1.1,High,41,56,64,Efficient,1
210,Infantry,Snow,Snow,3.1,Medium,9,245,89,Under,1
211,Artillery,Snow,Rain,3.1,Medium,43,273,399,Over,0
212,Artillery,Desert,Snow,7.0,Medium,32,60,56,Efficient,1
213,Infantry,Desert,Overcast,5.8,High,35,207,224,Efficient,1
214,Artillery,Snow,Clear,4.9,Low,47,193,185,Efficient,1
215,Artillery,Forest,Rain,5.1,High,52,132,190,Over,0
216,Infantry,Urban,Clear,7.6,High,22,96,79,Under,1
217,SF,Urban,Rain,4.2,Low,34,239,170,Under,1
218,Infantry,Urban,Overcast,1.9,Low,26,190,106,Under,1
219,SF,Desert,Clear,6.7,Low,43,195,154,Under,1
220,Artillery,Desert,Fog,4.9,Medium,31,142,159,Efficient,1
221,Artillery,Forest,Rain,6.4,High,35,131,199,Over,0
222,Artillery,Urban,Fog,4.4,Low,30,32,21,Under,1
223,Mechanized,Urban,Clear,2.8,High,33,166,193,Over,1
224,SF,Snow,Fog,5.3,Medium,60,266,519,Over,0
225,Mechanized,Desert,Fog,4.5,Medium,70,126,342,Over,0
226,Mechanized,Urban,Clear,4.9,Low,40,88,66,Under,1
227,Infantry,Forest,Overcast,7.7,Low,33,206,151,Under,1
228,Mechanized,Forest,Fog,2.3,High,11,217,82,Under,1
229,Infantry,Urban,Fog,5.1,Low,23,144,85,Under,1
230,Infantry,Desert,Overcast,2.9,High,33,159,186,Over,1
231,Mechanized,Forest,Fog,0.2,Low,24,195,99,Under,0
232,SF,Snow,Fog,4.4,High,25,170,159,Efficient,1
233,SF,Forest,Fog,4.6,High,58,240,632,Over,0
234,SF,Mountain,Snow,5.7,High,35,326,579,Over,0
235,SF,Mountain,Overcast,4.1,High,36,77,99,Over,0
236,SF,Desert,Fog,1.5,Medium,24,253,179,Under,1
237,Mechanized,Urban,Overcast,2.9,High,52,186,307,Over,0
238,Mechanized,Desert,Rain,7.1,Low,31,263,223,Under,1
239,Artillery,Desert,Rain,2.8,Medium,27,223,183,Under,1
240,SF,Desert,Fog,7.7,Medium,11,183,50,Under,1
241,Mechanized,Desert,Overcast,6.6,High,34,225,290,Over,0
242,Artillery,Snow,Overcast,3.9,Medium,26,156,94,Under,1
243,SF,Snow,Overcast,3.0,High,60,133,207,Over,0
244,Infantry,Forest,Snow,6.6,Low,62,228,290,Over,0
245,Artillery,Mountain,Rain,4.0,High,16,129,75,Under,1
246,Mechanized,Desert,Overcast,1.4,Medium,18,218,85,Under,1
247,Infantry,Forest,Overcast,5.6,Low,30,181,77,Under,1
248,Infantry,Mountain,Snow,5.3,High,22,40,34,Under,1
249,Infantry,Urban,Snow,6.8,Low,38,145,140,Efficient,1
250,Artillery,Snow,Overcast,5.2,Low,30,200,128,Under,1
251,Mechanized,Mountain,Clear,3.4,Medium,39,155,148,Efficient,1
252,Infantry,Urban,Overcast,7.0,Low,50,30,43,Over,0
253,SF,Mountain,Overcast,7.2,Medium,19,259,149,Under,1
254,Infantry,Snow,Snow,5.0,Low,49,190,229,Over,1
255,Infantry,Snow,Snow,4.6,High,24,206,203,Efficient,1
256,Artillery,Forest,Overcast,1.9,Low,67,151,254,Over,0
257,Artillery,Desert,Overcast,3.3,High,59,211,471,Over,0
258,Mechanized,Mountain,Overcast,6.0,High,33,290,261,Efficient,1
259,SF,Mountain,Snow,3.4,Low,20,135,59,Under,1
260,Artillery,Urban,Overcast,1.6,High,17,280,135,Under,1
261,Infantry,Snow,Overcast,10.0,Low,48,203,214,Efficient,1
262,Mechanized,Mountain,Fog,1.6,Low,34,127,95,Under,1
263,Infantry,Snow,Clear,9.0,High,48,312,556,Over,0
264,Infantry,Mountain,Rain,3.9,High,68,203,575,Over,0
265,Artillery,Forest,Clear,4.3,Medium,23,220,158,Under,1
266,Mechanized,Desert,Fog,3.2,High,16,163,96,Under,1
267,SF,Mountain,Rain,6.1,Medium,37,132,114,Under,1
268,SF,Snow,Overcast,1.6,High,52,190,268,Over,0
269,Artillery,Forest,Fog,0.8,Low,20,274,120,Under,0
270,Artillery,Mountain,Overcast,7.7,High,35,161,162,Efficient,1
271,Mechanized,Urban,Snow,2.9,Low,55,178,295,Over,0
272,SF,Desert,Fog,6.0,Low,10,267,57,Under,1
273,SF,Mountain,Snow,2.3,Low,38,161,170,Efficient,1
274,SF,Forest,Fog,5.9,Medium,26,210,132,Under,1
275,Infantry,Urban,Fog,7.9,High,36,232,383,Over,0
276,SF,Forest,Snow,3.4,Low,45,168,192,Efficient,1
277,Infantry,Forest,Rain,0.6,Low,38,198,210,Efficient,0
278,Mechanized,Urban,Clear,7.9,Medium,19,219,100,Under,1
279,Infantry,Forest,Overcast,6.4,High,27,155,133,Under,1
280,Mechanized,Urban,Fog,3.6,High,56,228,471,Over,0
281,SF,Mountain,Overcast,4.1,Medium,39,147,150,Efficient,1
282,SF,Urban,Snow,2.3,Medium,47,139,197,Over,0
283,Mechanized,Urban,Overcast,7.3,High,38,88,112,Over,0
284,Artillery,Desert,Snow,3.4,Medium,47,149,216,Over,0
285,Mechanized,Urban,Overcast,1.7,High,29,131,84,Under,1
286,Artillery,Urban,Clear,4.9,High,23,155,142,Efficient,1
287,Infantry,Mountain,Clear,2.8,Low,46,216,304,Over,0
288,Infantry,Desert,Clear,2.4,Low,51,76,86,Efficient,1
289,Infantry,Snow,Clear,3.6,High,21,61,36,Under,1
290,SF,Mountain,Clear,4.7,High,26,135,102,Under,1
291,Infantry,Mountain,Clear,1.7,High,32,207,238,Efficient,1
292,Artillery,Snow,Snow,7.3,High,59,197,531,Over,0
293,Infantry,Urban,Fog,5.9,High,43,134,223,Over,0
294,Mechanized,Forest,Overcast,3.8,High,15,250,139,Under,1
295,Mechanized,Desert,Clear,2.7,Medium,33,140,85,Under,1
296,SF,Forest,Snow,4.3,High,31,207,294,Over,0
297,Mechanized,Snow,Snow,6.3,Medium,17,158,94,Under,1
298,Artillery,Mountain,Snow,6.0,Medium,33,127,120,Efficient,1
299,Infantry,Mountain,Fog,6.6,High,30,143,138,Efficient,1
300,SF,Desert,Overcast,3.5,High,29,224,220,Efficient,1
301,Infantry,Mountain,Fog,0.2,Medium,28,201,201,Efficient,0
302,Infantry,Mountain,Rain,7.0,Medium,57,238,413,Over,0
303,Artillery,Desert,Snow,4.2,High,29,201,209,Efficient,1
304,Mechanized,Desert,Rain,5.8,High,35,83,115,Over,0
305,Mechanized,Snow,Clear,7.8,Medium,34,306,384,Over,0
306,Infantry,Mountain,Clear,9.4,Medium,27,202,172,Under,1
307,SF,Mountain,Fog,3.2,Medium,36,210,253,Over,1
308,Mechanized,Snow,Overcast,4.8,Low,35,157,141,Under,1
309,SF,Urban,Rain,7.2,Medium,36,246,300,Over,1
310,Mechanized,Urban,Overcast,2.8,Low,22,114,46,Under,1
311,SF,Urban,Fog,3.3,High,31,216,192,Under,1
312,Artillery,Snow,Clear,3.3,High,46,55,73,Over,0
313,SF,Mountain,Overcast,4.4,Medium,32,220,158,Under,1
314,Artillery,Snow,Overcast,4.1,High,37,115,156,Over,0
315,Artillery,Snow,Clear,3.3,High,37,196,274,Over,0
316,SF,Urban,Rain,2.6,High,41,261,403,Over,0
317,Artillery,Forest,Clear,6.1,High,43,229,282,Over,1
318,Infantry,Mountain,Overcast,7.2,Low,32,253,231,Efficient,1
319,Artillery,Urban,Rain,7.5,Low,21,247,123,Under,1
320,Mechanized,Forest,Rain,3.5,Medium,16,148,77,Under,1
321,SF,Forest,Clear,6.2,Medium,50,215,306,Over,0
322,Infantry,Desert,Overcast,5.0,Medium,46,76,98,Over,0
323,SF,Mountain,Fog,3.4,High,44,138,256,Over,0
324,Mechanized,Forest,Overcast,6.0,High,47,263,382,Over,0
325,Mechanized,Urban,Snow,3.3,Low,32,156,155,Efficient,1
326,Mechanized,Desert,Fog,3.7,Low,25,67,32,Under,1
327,Artillery,Mountain,Rain,1.7,Medium,20,300,147,Under,1
328,Artillery,Snow,Fog,3.6,Low,18,213,114,Under,1
329,SF,Urban,Rain,5.0,Low,53,225,317,Over,0
330,SF,Forest,Rain,7.6,Low,27,121,115,Efficient,1
331,Infantry,Forest,Fog,3.8,Low,50,197,249,Over,0
332,Infantry,Urban,Rain,2.4,Low,32,195,183,Efficient,1
333,SF,Forest,Rain,7.5,Medium,24,130,71,Under,1
334,Artillery,Desert,Snow,3.5,Medium,18,169,78,Under,1
335,Mechanized,Mountain,Overcast,1.0,Low,26,89,53,Under,1
336,SF,Desert,Overcast,4.8,Medium,56,159,178,Efficient,1
337,Infantry,Forest,Snow,3.9,High,18,238,170,Under,1
338,Artillery,Snow,Fog,9.1,Low,66,135,285,Over,0
339,SF,Mountain,Clear,5.5,High,22,294,243,Under,1
340,SF,Mountain,Clear,4.2,Medium,46,93,117,Over,0
341,Artillery,Urban,Clear,2.7,Medium,32,164,131,Under,1
342,SF,Urban,Snow,5.2,High,30,140,180,Over,0
343,Artillery,Snow,Snow,7.4,Medium,15,169,95,Under,1
344,Mechanized,Mountain,Rain,5.1,Low,33,262,191,Under,1
345,Artillery,Snow,Clear,2.8,High,17,120,72,Under,1
346,Artillery,Urban,Fog,5.6,Low,9,152,41,Under,1
347,Artillery,Urban,Fog,4.4,High,36,219,301,Over,0
348,SF,Mountain,Clear,5.4,Medium,25,185,130,Under,1
349,SF,Desert,Clear,3.8,High,60,190,417,Over,0
350,Artillery,Forest,Clear,3.7,High,50,122,225,Over,0
351,SF,Urban,Snow,3.7,Low,60,175,310,Over,0
352,Infantry,Urban,Snow,6.4,Medium,24,247,171,Under,1
353,Infantry,Desert,Snow,3.8,Low,37,83,74,Under,1
354,SF,Desert,Overcast,3.6,Medium,5,138,17,Under,1
355,SF,Snow,Fog,2.6,Low,30,71,45,Under,1
356,Artillery,Snow,Fog,5.4,High,36,212,224,Efficient,1
357,Mechanized,Forest,Rain,5.1,Low,37,253,117,Under,1
358,SF,Forest,Snow,3.6,Medium,34,168,219,Over,0
359,Infantry,Mountain,Overcast,3.1,Medium,35,119,84,Under,1
360,Artillery,Snow,Overcast,8.3,High,5,121,26,Under,1
361,SF,Urban,Fog,0.7,Medium,38,162,204,Over,0
362,Infantry,Snow,Snow,5.5,Low,42,161,170,Efficient,1
363,Infantry,Urban,Rain,7.1,High,55,234,555,Over,0
364,Mechanized,Desert,Snow,0.2,Medium,40,139,182,Over,0
365,Artillery,Snow,Clear,6.1,Medium,33,206,160,Under,1
366,Artillery,Desert,Snow,4.1,Low,51,161,215,Over,0
367,Mechanized,Forest,Clear,5.0,Low,5,135,12,Under,1
368,Mechanized,Forest,Clear,3.9,High,27,160,161,Efficient,1
369,Artillery,Mountain,Rain,6.7,Medium,23,200,128,Under,1
370,Artillery,Snow,Fog,5.2,Low,34,234,201,Under,1
371,SF,Desert,Snow,4.8,High,5,164,33,Under,1
372,SF,Urban,Clear,2.7,Medium,54,107,157,Over,0
373,Mechanized,Forest,Snow,8.3,Medium,31,239,324,Over,0
374,SF,Forest,Fog,4.5,High,39,126,187,Over,0
375,Infantry,Urban,Fog,9.1,High,38,195,372,Over,0
376,SF,Desert,Overcast,8.4,Low,53,178,232,Over,0
377,SF,Desert,Fog,0.9,Medium,7,170,43,Under,0
378,Infantry,Snow,Rain,3.2,Medium,36,150,152,Efficient,1
379,Mechanized,Snow,Clear,2.4,Medium,52,217,332,Over,0
380,Infantry,Mountain,Overcast,4.4,High,33,30,33,Efficient,1
381,SF,Forest,Rain,4.9,Low,20,248,66,Under,1
382,Mechanized,Snow,Snow,5.0,Medium,25,125,87,Under,1
383,SF,Desert,Clear,6.6,High,29,204,229,Efficient,1
384,Infantry,Urban,Fog,7.5,Medium,24,201,172,Under,1
385,Infantry,Desert,Clear,6.4,Low,32,256,150,Under,1
386,SF,Forest,Snow,3.4,Medium,57,191,365,Over,0
387,Artillery,Desert,Overcast,2.9,Low,26,130,76,Under,1
388,Artillery,Mountain,Overcast,4.5,Low,27,83,48,Under,1
389,Infantry,Forest,Overcast,5.4,Medium,41,159,198,Over,1
390,Infantry,Urban,Fog,4.1,Medium,32,62,68,Efficient,1
391,Artillery,Mountain,Rain,1.8,Low,15,142,49,Under,1
392,Artillery,Forest,Rain,5.9,High,34,162,197,Over,1
393,SF,Urban,Clear,3.7,Low,33,138,114,Under,1
394,SF,Mountain,Fog,3.7,Medium,49,182,298,Over,0
395,Artillery,Mountain,Overcast,4.4,Medium,20,165,70,Under,1
396,SF,Forest,Overcast,4.0,High,49,160,271,Over,0
397,SF,Snow,Snow,3.8,Low,33,34,24,Under,1
398,Mechanized,Mountain,Snow,1.9,Low,18,102,39,Under,1
399,SF,Mountain,Overcast,4.3,Low,15,218,63,Under,1
400,Infantry,Urban,Overcast,5.9,Medium,64,228,406,Over,0
401,SF,Desert,Fog,5.0,Low,32,69,59,Under,1
402,SF,Forest,Rain,6.4,High,49,131,235,Over,0
403,Artillery,Forest,Snow,3.0,Medium,9,244,67,Under,1
404,Infantry,Snow,Rain,1.9,Medium,74,136,270,Over,0
405,SF,Snow,Fog,4.0,Low,48,173,242,Over,0
406,SF,Forest,Overcast,3.3,High,31,266,156,Under,1
407,Mechanized,Snow,Rain,3.5,Medium,30,158,134,Under,1
408,SF,Urban,Overcast,4.9,Medium,46,149,229,Over,0
409,SF,Forest,Overcast,3.5,Low,45,170,175,Efficient,1
410,Mechanized,Snow,Clear,2.0,Low,37,291,271,Efficient,1
411,Artillery,Forest,Rain,3.4,High,35,206,186,Efficient,1
412,SF,Desert,Rain,5.2,Low,43,181,155,Under,1
413,Mechanized,Mountain,Overcast,5.8,High,8,148,44,Under,1
414,Infantry,Forest,Fog,5.8,Medium,29,212,245,Over,1
415,Artillery,Mountain,Clear,5.3,High,10,219,63,Under,1
