scenario_id,terrain,weapon,distance_to_target_m,enemy_cover,suppression_needed,visibility_km,recommended_mode
39,Mountain,Rifle,321,High,1,7.2,Single
40,Open,Mortar,244,Low,1,6.3,Single
41,Open,Mortar,30,Low,1,3.5,Burst
42,Snow,LMG,164,High,1,5.9,Suppressive
43,Forest,LMG,159,Medium,0,3.9,Suppressive
44,Forest,MMG,351,Low,1,4.9,Suppressive
45,BuiltUp,MMG,354,High,0,4.9,Suppressive
46,Open,Mortar,30,Medium,1,4.3,Burst
47,BuiltUp,MMG,315,Low,1,6.7,Suppressive
48,Mountain,Mortar,238,Low,1,2.8,Single
49,Snow,MMG,268,High,0,6.1,Suppressive
50,BuiltUp,MMG,157,High,1,5.6,Suppressive
51,Open,LMG,240,Medium,0,2.2,Suppressive
52,Mountain,LMG,422,High,1,3.4,Suppressive
53,Forest,LMG,266,High,1,2.8,Suppressive
54,Mountain,LMG,243,Medium,0,4.3,Suppressive
55,BuiltUp,Rifle,178,High,0,5.1,Single
56,Open,LMG,407,Medium,1,3.1,Suppressive
57,BuiltUp,Rifle,57,Medium,1,6.9,Burst
58,Forest,LMG,129,Medium,0,7.1,Suppressive
59,Forest,MMG,49,High,1,7.5,Suppressive
60,Open,Mortar,280,Medium,0,0.3,Single
61,Snow,MMG,426,High,1,8.9,Suppressive
62,Mountain,MMG,200,Medium,0,5.3,Suppressive
63,Mountain,Rifle,89,High,0,5.1,Burst
64,Forest,LMG,495,Medium,0,4.8,Suppressive
65,BuiltUp,Mortar,317,Low,0,2.4,Single
66,BuiltUp,Mortar,291,Low,0,5.7,Single
67,Snow,LMG,221,Low,1,8.2,Suppressive
68,BuiltUp,Rifle,350,Medium,1,5.3,Single
69,Mountain,Rifle,289,High,1,2.8,Single
70,BuiltUp,Rifle,177,Medium,1,1.9,Single
71,Snow,Mortar,202,Medium,1,4.4,Single
72,Mountain,Rifle,97,Medium,1,3.5,Burst
73,BuiltUp,Rifle,78,Medium,1,6.4,Burst
74,Mountain,Mortar,205,High,1,7.7,Single
75,Forest,Mortar,423,Medium,1,5.9,Smoke
76,Forest,MMG,94,Low,0,4.8,Burst
77,Forest,Mortar,375,Low,0,4.7,Single
78,BuiltUp,LMG,130,Low,1,5.1,Suppressive
79,Snow,Mortar,30,Medium,0,2.7,Burst
80,Mountain,Mortar,331,High,1,6.2,Single
81,Open,Rifle,494,High,0,2.8,Single
82,Forest,MMG,121,High,0,7.2,Suppressive
83,Forest,Rifle,30,Medium,0,4.3,Burst
84,Open,MMG,318,High,1,6.7,Suppressive
85,Open,Rifle,111,Low,1,2.1,Burst
86,BuiltUp,LMG,330,High,1,6.6,Suppressive
87,Mountain,Rifle,422,Medium,1,7.7,Single
88,Forest,Rifle,299,Medium,0,2.4,Single
89,Snow,LMG,371,High,1,4.8,Suppressive
90,BuiltUp,LMG,372,Medium,0,5.7,Suppressive
91,BuiltUp,Mortar,398,High,1,5.8,Single
92,Snow,Rifle,256,High,0,4.3,Single
93,Snow,LMG,366,Low,0,4.0,Single
94,Snow,LMG,274,Medium,0,5.5,Suppressive
95,Open,Mortar,308,Low,0,5.7,Single
96,Forest,MMG,707,Medium,1,3.7,Suppressive
97,Open,LMG,286,High,1,3.3,Suppressive
98,Forest,LMG,30,Medium,0,7.4,Suppressive
99,Open,Rifle,220,High,1,5.2,Single
100,Mountain,Mortar,203,Medium,1,0.5,Single
101,Forest,Rifle,210,Low,0,7.4,Single
102,BuiltUp,MMG,393,Low,1,3.8,Suppressive
103,Forest,Mortar,419,High,1,5.1,Smoke
104,Forest,Rifle,234,Low,1,5.7,Single
105,Forest,LMG,41,High,0,2.0,Suppressive
106,Mountain,LMG,264,High,1,4.4,Suppressive
107,Open,Mortar,168,High,0,7.6,Single
108,BuiltUp,LMG,281,Medium,0,7.2,Suppressive
109,Open,Rifle,231,High,0,4.4,Single
110,Open,Mortar,432,Low,1,6.4,Smoke
111,Snow,LMG,291,Medium,1,6.7,Suppressive
112,Mountain,LMG,168,Low,1,6.6,Suppressive
113,Snow,MMG,42,High,0,2.7,Suppressive
114,Mountain,MMG,242,High,1,8.3,Suppressive
115,Open,Mortar,243,Low,0,4.1,Single
116,Open,MMG,210,Medium,1,5.2,Suppressive
117,Mountain,Rifle,366,Low,0,4.3,Single
118,Open,LMG,42,High,1,5.5,Suppressive
119,Open,LMG,135,Medium,1,3.3,Suppressive
120,BuiltUp,LMG,257,High,1,4.5,Suppressive
121,Snow,Mortar,166,High,0,5.4,Single
122,Snow,Mortar,196,Low,0,7.4,Single
123,Snow,MMG,240,High,1,7.2,Suppressive
124,Forest,LMG,352,Low,0,7.3,Single
125,BuiltUp,LMG,234,Medium,0,6.7,Suppressive
126,Snow,LMG,30,High,0,8.7,Suppressive
127,Snow,LMG,159,High,1,4.4,Suppressive
128,BuiltUp,LMG,324,Medium,1,4.7,Suppressive
129,Open,Rifle,364,Low,1,4.6,Single
130,Snow,LMG,372,High,0,4.9,Suppressive
131,Open,Rifle,415,Medium,1,2.1,Single
132,Snow,LMG,267,High,0,5.5,Suppressive
133,Mountain,Mortar,289,Low,0,6.0,Single
134,Forest,Mortar,97,Low,1,4.5,Burst
135,Snow,Rifle,30,Low,1,1.5,Burst
136,Mountain,LMG,37,Low,1,5.0,Suppressive
137,BuiltUp,Mortar,144,Medium,0,2.4,Single
138,Mountain,Mortar,46,High,0,5.9,Burst
139,BuiltUp,LMG,206,Medium,1,5.2,Suppressive
140,Snow,LMG,180,Low,0,5.4,Single
141,BuiltUp,Mortar,390,Low,1,2.9,Single
142,Mountain,LMG,104,Low,1,7.5,Suppressive
143,Forest,MMG,271,Low,1,5.3,Suppressive
144,Open,LMG,187,High,1,3.2,Suppressive
145,Open,Mortar,99,Low,1,6.2,Burst
146,Forest,Mortar,140,High,1,5.2,Single
147,Open,Rifle,30,Low,0,8.7,Burst
148,Snow,MMG,362,High,0,3.9,Suppressive
149,Snow,Mortar,460,High,1,2.5,Smoke
150,Mountain,MMG,209,Low,1,5.6,Suppressive
151,Mountain,LMG,254,Medium,0,7.0,Suppressive
152,BuiltUp,Mortar,205,Medium,0,9.6,Single
153,Mountain,Rifle,126,Medium,1,11.8,Single
154,Snow,Mortar,355,Medium,1,1.9,Single
155,Mountain,Rifle,297,Medium,0,4.7,Single
156,Open,MMG,30,Low,1,2.5,Suppressive
157,BuiltUp,Rifle,94,Low,0,4.5,Burst
158,BuiltUp,LMG,30,Low,1,10.0,Suppressive
159,Snow,LMG,483,Low,0,3.4,Single
160,Mountain,LMG,224,Low,1,5.0,Suppressive
161,Open,Mortar,286,Low,1,3.8,Single
162,Mountain,LMG,197,High,1,3.0,Suppressive
163,Forest,LMG,415,High,0,8.6,Suppressive
164,Mountain,Mortar,379,Low,1,1.9,Single
165,Snow,MMG,217,Low,0,4.8,Single
166,Mountain,LMG,507,High,0,5.2,Suppressive
167,BuiltUp,LMG,277,High,0,4.9,Suppressive
168,Open,Mortar,30,Low,0,4.4,Burst
169,Snow,MMG,265,High,1,8.2,Suppressive
170,Forest,MMG,327,Medium,1,0.8,Suppressive
171,Open,MMG,230,Medium,1,5.9,Suppressive
172,Open,Mortar,188,Medium,0,6.0,Single
173,BuiltUp,Rifle,514,High,1,5.6,Single
174,BuiltUp,Rifle,72,Low,0,3.3,Burst
175,BuiltUp,LMG,30,Low,0,7.4,Burst
176,Snow,LMG,492,Low,0,7.3,Single
177,Mountain,LMG,66,High,1,3.3,Suppressive
178,Open,Rifle,207,High,0,2.6,Single
179,Mountain,Mortar,193,Medium,1,2.2,Single
180,Mountain,LMG,434,High,1,5.5,Suppressive
181,BuiltUp,Mortar,465,Medium,1,5.1,Smoke
182,Mountain,LMG,56,Medium,0,4.3,Suppressive
183,Open,Mortar,453,Low,1,9.2,Smoke
184,Open,Mortar,450,High,0,4.1,Smoke
185,Forest,Rifle,252,Low,0,5.4,Single
186,Snow,Mortar,389,Low,0,4.6,Single
187,Mountain,MMG,404,High,0,8.9,Suppressive
188,Snow,Rifle,212,High,1,1.0,Single
189,Snow,LMG,226,Medium,1,4.4,Suppressive
190,Snow,Rifle,338,Medium,1,6.2,Single
191,Snow,MMG,30,Medium,1,4.6,Suppressive
192,Open,MMG,196,Medium,0,2.4,Suppressive
193,Mountain,Mortar,69,Low,0,5.4,Burst
194,Forest,MMG,463,Low,0,1.8,Single
195,Snow,MMG,195,High,0,6.3,Suppressive
196,Forest,MMG,291,Medium,1,4.2,Suppressive
197,Open,MMG,217,Medium,1,3.8,Suppressive
198,Open,LMG,207,Medium,0,7.1,Suppressive
199,BuiltUp,LMG,281,Low,0,3.0,Single
200,Snow,Rifle,140,High,0,1.9,Single
201,BuiltUp,Mortar,220,Low,0,3.2,Single
202,Forest,LMG,219,High,1,9.1,Suppressive
203,Mountain,MMG,186,High,0,3.0,Suppressive
204,BuiltUp,Mortar,308,Low,1,5.7,Single
205,Open,LMG,182,Low,1,6.7,Suppressive
206,Snow,Rifle,491,High,0,3.1,Single
207,Forest,MMG,344,Low,0,3.1,Single
208,Open,Mortar,47,Low,1,5.4,Burst
209,Mountain,LMG,332,High,1,5.5,Suppressive
210,Snow,Mortar,146,High,0,7.7,Single
211,Mountain,LMG,270,Medium,1,3.5,Suppressive
212,Mountain,Rifle,140,Low,0,4.2,Single
213,Snow,MMG,30,High,0,10.7,Suppressive
214,Snow,Rifle,246,Low,1,1.4,Single
215,Mountain,MMG,34,Low,1,1.0,Suppressive
216,Forest,MMG,312,High,0,2.2,Suppressive
217,Snow,Mortar,276,Medium,0,7.2,Single
218,Open,LMG,159,High,1,4.1,Suppressive
219,BuiltUp,Rifle,523,High,1,4.1,Single
220,Forest,Rifle,64,Low,1,3.1,Burst
221,Snow,Rifle,156,Medium,1,6.8,Single
222,Snow,Mortar,81,High,0,2.3,Burst
223,Forest,Mortar,556,Low,0,3.8,Suppressive
224,BuiltUp,Mortar,452,High,0,3.1,Smoke
225,Mountain,MMG,36,Low,1,0.3,Suppressive
226,Open,Rifle,126,High,1,4.0,Single
227,Snow,MMG,131,Medium,0,4.9,Suppressive
228,BuiltUp,Rifle,167,High,1,3.4,Single
229,Open,Rifle,93,Low,1,4.5,Burst
230,Forest,LMG,159,High,1,4.5,Suppressive
231,Snow,Rifle,400,Medium,1,4.7,Single
232,Mountain,Mortar,542,Medium,1,2.9,Smoke
233,Forest,Mortar,30,Medium,1,2.8,Burst
234,Snow,Mortar,93,Medium,0,5.1,Burst
235,BuiltUp,LMG,282,Low,0,2.0,Single
236,Open,LMG,30,High,0,4.6,Suppressive
237,Open,MMG,285,Medium,0,8.3,Suppressive
238,Snow,Rifle,331,High,1,4.9,Single
239,Forest,Rifle,355,Low,0,1.3,Single
240,Mountain,Mortar,326,High,0,5.4,Single
241,BuiltUp,Mortar,169,High,0,6.6,Single
242,Snow,Mortar,222,Medium,0,3.4,Single
243,BuiltUp,Mortar,73,Medium,1,4.4,Burst
244,Open,Mortar,319,Low,1,3.2,Single
245,Mountain,Mortar,490,High,0,4.1,Smoke
246,BuiltUp,Rifle,319,Low,0,3.7,Single
247,Snow,LMG,145,Low,1,5.9,Suppressive
248,Mountain,Mortar,399,Low,1,8.3,Single
249,Forest,Rifle,604,Medium,0,5.1,Single
250,Snow,Mortar,286,Medium,1,1.9,Single
251,BuiltUp,MMG,333,High,1,10.1,Suppressive
252,Mountain,MMG,351,High,0,6.2,Suppressive
253,Snow,Rifle,30,High,1,6.6,Burst
254,Mountain,LMG,188,Medium,0,4.9,Suppressive
255,Mountain,MMG,172,Medium,0,5.5,Suppressive
256,Mountain,MMG,375,Low,1,4.3,Suppressive
257,BuiltUp,LMG,357,Medium,1,6.8,Suppressive
258,Snow,MMG,231,Low,1,4.0,Suppressive
259,Open,Mortar,163,Low,1,6.0,Single
260,Open,LMG,30,Medium,1,6.9,Suppressive
261,BuiltUp,MMG,247,Low,1,7.5,Suppressive
262,BuiltUp,LMG,106,Low,0,7.1,Burst
263,Mountain,Mortar,88,High,1,3.0,Burst
264,Snow,MMG,388,Low,0,8.1,Single
265,Snow,Rifle,373,Medium,1,6.3,Single
266,Forest,MMG,176,Medium,1,5.6,Suppressive
267,Forest,MMG,30,Low,1,5.8,Suppressive
268,Open,Mortar,126,High,1,4.7,Single
269,Forest,Rifle,398,Medium,1,4.1,Single
270,Forest,Rifle,320,Medium,0,4.3,Single
271,Open,Rifle,179,High,0,7.6,Single
272,Open,Mortar,258,Low,0,5.2,Single
273,Forest,Mortar,30,Medium,1,5.6,Burst
274,Snow,Mortar,30,Low,1,5.1,Burst
275,Forest,Mortar,546,Low,1,3.7,Smoke
276,Mountain,Mortar,325,Low,0,0.7,Single
277,Mountain,Rifle,250,Low,0,6.5,Single
278,Mountain,LMG,190,Medium,1,6.3,Suppressive
279,BuiltUp,Mortar,30,High,0,5.0,Burst
280,Mountain,LMG,398,Medium,1,2.8,Suppressive
281,Snow,MMG,79,High,1,8.6,Suppressive
282,BuiltUp,MMG,355,Low,0,4.3,Single
283,BuiltUp,Mortar,269,High,0,5.5,Single
284,Mountain,MMG,242,Low,0,3.6,Single
285,Forest,LMG,54,Medium,0,2.3,Suppressive
286,Open,MMG,56,Medium,1,6.2,Suppressive
287,Forest,MMG,308,High,1,2.0,Suppressive
288,Forest,LMG,261,Low,0,5.5,Single
289,BuiltUp,MMG,257,Low,0,5.5,Single
290,BuiltUp,Mortar,292,High,0,2.8,Single
291,BuiltUp,LMG,30,Low,0,2.4,Burst
292,Snow,LMG,402,Low,1,3.5,Suppressive
293,Snow,Rifle,196,Low,1,3.7,Single
294,Open,Rifle,425,Medium,1,1.9,Single
295,BuiltUp,LMG,30,Medium,1,2.7,Suppressive
296,Mountain,LMG,335,Medium,1,5.2,Suppressive
297,BuiltUp,Rifle,333,Low,1,9.0,Single
298,Snow,Mortar,30,Medium,1,7.0,Burst
299,BuiltUp,MMG,154,Low,0,5.3,Single
300,Snow,MMG,91,Low,1,7.3,Suppressive
301,BuiltUp,MMG,379,High,0,7.3,Suppressive
302,Mountain,LMG,296,Low,0,4.4,Single
303,Open,Mortar,489,Medium,0,5.5,Suppressive
304,Mountain,Rifle,280,Medium,1,7.0,Single
305,Snow,Mortar,359,Low,1,7.2,Single
306,Forest,Mortar,425,Medium,1,7.2,Smoke
307,Mountain,MMG,333,Low,1,2.9,Suppressive
308,BuiltUp,Rifle,192,High,0,7.4,Single
309,Open,Mortar,164,Low,1,8.7,Single
310,BuiltUp,Rifle,238,Low,0,8.0,Single
311,BuiltUp,LMG,369,High,1,2.8,Suppressive
312,Mountain,MMG,135,Medium,1,2.3,Suppressive
313,Open,Rifle,347,High,0,5.9,Single
314,Forest,LMG,298,High,0,7.9,Suppressive
315,BuiltUp,LMG,62,Low,0,5.5,Burst
316,Open,LMG,340,Low,1,4.5,Suppressive
317,Forest,Mortar,271,High,1,4.8,Single
318,BuiltUp,Mortar,167,Medium,0,7.0,Single
319,Open,MMG,269,High,1,4.4,Suppressive
320,Mountain,MMG,173,Medium,0,6.0,Suppressive
321,BuiltUp,LMG,287,High,1,4.7,Suppressive
322,BuiltUp,MMG,224,High,0,3.2,Suppressive
323,Open,Mortar,30,Medium,0,3.1,Burst
324,BuiltUp,MMG,229,High,1,6.1,Suppressive
325,Forest,Rifle,183,Low,0,0.3,Single
326,BuiltUp,Mortar,345,High,1,6.0,Single
327,Snow,LMG,381,Low,1,4.7,Suppressive
328,Forest,LMG,173,Medium,0,6.9,Suppressive
329,Open,MMG,131,Medium,0,6.2,Suppressive
330,Forest,Mortar,30,Low,1,5.1,Burst
331,Snow,LMG,127,High,1,2.9,Suppressive
332,Snow,LMG,201,Low,0,3.0,Single
333,BuiltUp,Mortar,49,Low,0,3.7,Burst
334,BuiltUp,Mortar,383,Medium,0,6.7,Single
335,Mountain,LMG,289,Low,1,8.5,Suppressive
336,Forest,MMG,231,High,1,5.7,Suppressive
337,Mountain,MMG,247,Low,1,3.8,Suppressive
338,Snow,MMG,295,Medium,0,4.0,Suppressive
339,BuiltUp,Rifle,344,High,0,4.1,Single
340,BuiltUp,Mortar,371,Medium,1,7.1,Single
341,BuiltUp,LMG,203,Low,1,4.1,Suppressive
342,Open,Rifle,228,Low,0,4.9,Single
343,Snow,MMG,275,Medium,1,7.7,Suppressive
344,BuiltUp,Rifle,222,Medium,0,3.9,Single
345,Snow,LMG,380,High,0,6.1,Suppressive
346,BuiltUp,LMG,434,Medium,0,6.8,Suppressive
347,Forest,Mortar,301,Medium,1,5.1,Single
348,Snow,MMG,113,Low,1,8.9,Suppressive
349,Mountain,MMG,326,Low,0,8.3,Single
350,Open,Rifle,307,Medium,0,5.5,Single
351,Mountain,MMG,101,Medium,1,3.4,Suppressive
352,Snow,Rifle,307,Low,0,3.5,Single
353,BuiltUp,LMG,168,High,1,5.4,Suppressive
354,Snow,LMG,361,High,1,2.8,Suppressive
355,Open,LMG,325,High,1,5.5,Suppressive
356,Snow,LMG,283,High,0,8.4,Suppressive
357,BuiltUp,LMG,255,Low,0,5.1,Single
358,Mountain,Rifle,30,Medium,0,5.0,Burst
359,Forest,LMG,67,High,0,6.7,Suppressive
360,Mountain,Rifle,230,Low,1,6.0,Single
361,BuiltUp,LMG,477,Medium,0,2.7,Suppressive
362,BuiltUp,Rifle,334,High,1,4.1,Single
363,Open,Rifle,522,Medium,0,8.8,Single
364,Snow,Rifle,262,High,0,5.7,Single
365,Snow,MMG,245,Medium,0,3.0,Suppressive
366,Mountain,Rifle,463,High,0,4.6,Single
367,Forest,Rifle,226,High,0,1.4,Single
368,Forest,LMG,102,Medium,1,1.3,Suppressive
369,Open,Rifle,297,Medium,0,7.0,Single
370,BuiltUp,Rifle,418,Medium,0,5.0,Single
371,Open,Mortar,126,Low,0,6.0,Single
372,Snow,MMG,338,Low,0,7.3,Single
373,BuiltUp,Mortar,236,Medium,0,5.7,Single
374,Open,LMG,317,Low,1,6.5,Suppressive
375,Mountain,MMG,297,High,0,5.5,Suppressive
376,Snow,MMG,187,Medium,1,7.6,Suppressive
377,Forest,Mortar,234,Low,0,8.5,Single
378,Open,MMG,197,Medium,1,5.4,Suppressive
379,Snow,Mortar,267,High,0,5.3,Single
380,Snow,Rifle,123,High,0,5.6,Single
381,Forest,Mortar,158,Low,1,4.8,Single
382,Forest,MMG,187,High,0,4.2,Suppressive
383,Forest,MMG,308,Medium,1,7.1,Suppressive
384,Open,LMG,37,Low,0,4.2,Burst
385,Forest,LMG,233,Medium,1,4.1,Suppressive
386,Mountain,LMG,143,Medium,1,6.8,Suppressive
387,Snow,LMG,188,Medium,1,7.0,Suppressive
388,Forest,MMG,150,High,0,9.7,Suppressive
389,Snow,LMG,279,Medium,1,7.4,Suppressive
390,BuiltUp,Mortar,226,High,0,6.7,Single
391,BuiltUp,Rifle,356,Medium,1,6.9,Single
392,Forest,MMG,310,High,1,4.7,Suppressive
393,Snow,LMG,30,High,1,6.1,Suppressive
394,BuiltUp,MMG,106,High,0,6.2,Suppressive
395,Forest,LMG,224,Medium,0,3.9,Suppressive
396,Snow,MMG,243,Medium,0,4.9,Suppressive
397,Forest,LMG,119,High,1,6.9,Suppressive
398,Snow,Rifle,445,Medium,0,5.0,Single
399,BuiltUp,LMG,379,High,0,6.2,Suppressive
400,Forest,Mortar,30,Medium,1,6.8,Burst
401,BuiltUp,MMG,301,High,1,6.7,Suppressive
402,Forest,MMG,243,High,0,8.5,Suppressive
403,Open,Mortar,436,Low,0,3.8,Suppressive
404,BuiltUp,Mortar,30,Medium,0,8.3,Burst
405,BuiltUp,Rifle,558,Medium,1,5.9,Single
406,Mountain,MMG,123,Low,1,6.7,Suppressive
407,BuiltUp,Rifle,306,High,1,6.4,Single
408,Snow,MMG,159,High,1,6.3,Suppressive
409,Forest,MMG,193,Low,1,3.7,Suppressive
410,Open,Rifle,30,Low,0,6.6,Burst
411,Snow,MMG,429,High,0,2.1,Suppressive
412,Snow,MMG,209,Medium,0,9.2,Suppressive
413,Snow,Rifle,219,Low,1,5.8,Single
414,Snow,LMG,596,Low,1,7.3,Suppressive
415,Open,Rifle,393,Low,0,6.4,Single
416,Mountain,MMG,149,Low,0,5.1,Single
417,BuiltUp,Mortar,158,Low,0,3.9,Single
418,Snow,LMG,288,Low,1,3.5,Suppressive
419,BuiltUp,Mortar,365,High,1,6.6,Single
420,BuiltUp,LMG,512,High,1,6.5,Suppressive
421,Snow,Mortar,30,Low,1,6.1,Burst
422,Mountain,LMG,359,High,1,4.8,Suppressive
423,BuiltUp,Rifle,383,Medium,0,5.8,Single
424,Forest,LMG,131,Medium,0,4.2,Suppressive
425,BuiltUp,LMG,195,Low,1,3.6,Suppressive
426,Snow,LMG,30,Medium,1,4.4,Suppressive
427,Open,MMG,174,Medium,0,4.5,Suppressive
428,BuiltUp,Mortar,284,High,1,7.9,Single
429,Mountain,Rifle,489,High,1,2.3,Single
430,Forest,Mortar,502,High,0,4.9,Smoke
431,Forest,Mortar,95,High,1,6.3,Burst
432,Open,Rifle,468,Medium,1,9.0,Single
433,Open,MMG,30,Low,0,3.8,Burst
434,BuiltUp,LMG,162,High,1,2.8,Suppressive
435,Snow,MMG,204,Medium,1,6.4,Suppressive
436,Mountain,MMG,287,High,0,5.3,Suppressive
437,Forest,LMG,265,Medium,0,4.6,Suppressive
438,Open,Mortar,304,High,1,5.9,Single
439,Mountain,LMG,222,Low,0,6.7,Single
440,Snow,Rifle,393,High,0,6.5,Single
441,Forest,LMG,353,Low,1,5.6,Suppressive
442,Forest,Mortar,206,High,0,7.6,Single
443,Snow,MMG,376,High,1,5.4,Suppressive
444,Forest,MMG,560,High,0,5.1,Suppressive
445,Snow,LMG,149,Medium,0,6.4,Suppressive
446,Forest,Rifle,501,Medium,1,2.5,Single
447,BuiltUp,Mortar,162,Low,1,6.2,Single
448,Snow,MMG,461,Low,1,4.4,Suppressive
449,Mountain,LMG,168,Medium,0,2.3,Suppressive
450,BuiltUp,Rifle,364,Low,1,5.9,Single
451,Mountain,Rifle,276,Low,1,4.1,Single
452,Forest,MMG,30,Medium,0,1.8,Suppressive
453,Mountain,MMG,537,Medium,0,3.3,Suppressive
454,BuiltUp,Mortar,115,Medium,0,8.4,Burst
455,Snow,Rifle,59,Medium,1,3.9,Burst
456,Open,Mortar,154,High,0,5.6,Single
457,Mountain,Rifle,629,Medium,0,2.8,Single
458,Open,Rifle,61,Low,1,9.2,Burst
459,Mountain,LMG,276,High,0,5.1,Suppressive
460,Mountain,MMG,81,High,0,3.6,Suppressive
461,Snow,Rifle,107,Low,1,6.8,Burst
462,Forest,Mortar,30,High,0,9.1,Burst
463,BuiltUp,MMG,297,Low,1,4.2,Suppressive
464,BuiltUp,Mortar,225,High,1,3.6,Single
465,BuiltUp,MMG,80,High,1,9.6,Suppressive
466,Forest,MMG,380,Low,1,4.8,Suppressive
467,Open,Rifle,396,Low,1,4.5,Single
468,BuiltUp,LMG,311,Low,0,0.7,Single
469,Open,Rifle,425,Low,1,4.9,Single
470,Forest,MMG,197,Medium,1,2.3,Suppressive
471,Forest,Rifle,298,Medium,1,3.9,Single
472,Snow,Rifle,198,Low,1,1.0,Single
473,BuiltUp,MMG,30,Medium,0,7.5,Suppressive
474,Snow,MMG,282,Low,0,2.1,Single
475,BuiltUp,Rifle,273,Low,0,1.1,Single
476,Forest,Rifle,245,High,1,3.2,Single
477,Forest,Rifle,306,Low,0,7.5,Single
478,Mountain,Mortar,461,Low,0,4.1,Suppressive
479,Mountain,Rifle,219,Low,1,4.4,Single
480,Forest,Mortar,106,Low,1,6.0,Burst
481,Forest,LMG,212,High,0,4.7,Suppressive
482,Open,Mortar,229,Low,0,7.5,Single
483,Open,Rifle,397,High,0,4.5,Single
484,Snow,LMG,265,Low,0,4.6,Single
485,Mountain,Mortar,77,High,1,9.5,Burst
486,Mountain,Mortar,370,Medium,1,5.1,Single
487,Forest,MMG,346,High,1,5.5,Suppressive
488,Forest,LMG,266,High,1,4.6,Suppressive
489,Snow,MMG,392,Low,1,0.3,Suppressive
490,Mountain,LMG,417,High,0,6.7,Suppressive
491,Open,Mortar,193,High,1,8.3,Single
492,BuiltUp,MMG,114,Low,1,7.5,Suppressive
493,Snow,Rifle,248,Medium,0,3.9,Single
494,BuiltUp,Mortar,330,Medium,1,4.7,Single
495,Open,LMG,234,Medium,0,5.7,Suppressive
496,Open,LMG,101,High,1,5.6,Suppressive
497,BuiltUp,MMG,274,Low,1,6.4,Suppressive
498,Snow,MMG,30,Medium,1,5.4,Suppressive
499,BuiltUp,LMG,201,Medium,0,4.3,Suppressive
500,Snow,Mortar,377,Medium,1,5.3,Single
501,Snow,MMG,385,Medium,0,7.0,Suppressive
502,Forest,Rifle,30,Low,1,10.8,Burst
503,Mountain,LMG,221,Medium,1,4.0,Suppressive
504,Mountain,Rifle,339,High,0,5.5,Single
505,Open,LMG,73,High,0,4.3,Suppressive
506,Forest,Rifle,194,Low,1,5.6,Single
507,Mountain,Mortar,431,Medium,0,7.0,Suppressive
508,Snow,LMG,177,Medium,1,4.6,Suppressive
509,Snow,Mortar,489,High,1,0.9,Smoke
510,BuiltUp,MMG,138,Low,0,7.1,Single
511,BuiltUp,LMG,461,High,0,5.3,Suppressive
512,Snow,Mortar,255,Low,0,4.3,Single
513,Snow,Rifle,118,Low,1,3.9,Burst
514,BuiltUp,Mortar,461,Low,0,5.6,Suppressive
515,Mountain,LMG,69,High,1,3.6,Suppressive
516,Open,Mortar,130,Low,0,3.8,Single
517,BuiltUp,Rifle,323,High,0,2.5,Single
518,Mountain,Rifle,262,High,0,3.6,Single
519,Mountain,Rifle,291,Medium,0,6.3,Single
520,Mountain,MMG,194,High,0,2.2,Suppressive
