patrol_id,unit,duration_min,distance_km,avg_speed_kmph,halts_count,comms_silence_gaps_min,heart_rate_avg,deviation_from_plan_m,anomaly_label
55,AssamRifles,322,11.3,2.11,5,0.1,111.6,35.4,0
56,AssamRifles,212,14.8,4.19,6,12.7,101.9,225.1,0
57,RR,257,7.1,1.65,8,4.1,97.2,95.2,0
58,RifleCoy,385,21.6,3.36,7,0.6,130.0,117.9,0
59,SF,189,12.0,3.82,8,1.2,100.1,83.5,0
60,RR,251,8.9,2.12,6,9.6,100.2,13.5,0
61,RifleCoy,254,8.7,2.06,8,3.5,96.5,127.0,0
62,AssamRifles,239,18.9,4.73,3,20.3,93.7,96.1,0
63,AssamRifles,242,7.9,1.95,5,0.6,101.8,133.3,0
64,AssamRifles,187,13.5,4.33,3,2.7,101.1,40.1,0
65,RifleCoy,261,16.4,3.77,8,2.0,92.2,60.1,0
66,AssamRifles,129,14.8,6.87,10,3.6,109.6,96.1,1
67,RifleCoy,347,9.2,1.59,5,5.0,72.1,82.9,0
68,RR,342,16.2,2.84,10,5.4,111.5,62.8,0
69,SF,220,12.8,3.49,6,0.0,124.6,96.1,0
70,AssamRifles,303,3.4,1.0,5,0.5,102.0,165.8,1
71,RR,222,18.1,4.9,3,0.2,115.3,107.5,0
72,RR,240,8.9,2.23,8,10.0,106.2,150.4,0
73,RifleCoy,199,11.1,3.35,4,1.9,145.3,69.9,0
74,RR,289,13.5,2.81,8,2.3,124.6,83.3,0
75,RifleCoy,205,9.3,2.73,4,3.0,97.0,94.6,0
76,RifleCoy,287,15.8,3.3,7,9.5,129.4,53.3,0
77,RR,237,6.5,1.64,4,0.1,146.2,95.1,1
78,RifleCoy,238,9.1,2.3,3,0.6,106.8,174.1,0
79,RifleCoy,150,18.1,7.25,8,5.8,117.3,184.7,1
80,RifleCoy,243,12.1,2.99,7,16.6,125.2,162.5,0
81,RR,171,6.7,2.36,5,5.1,93.2,98.3,0
82,SF,243,12.4,3.06,6,1.5,82.5,36.9,0
83,RifleCoy,356,14.0,2.36,6,3.7,112.4,226.8,0
84,AssamRifles,156,4.1,1.57,4,18.4,97.7,49.2,0
85,RR,231,20.3,5.27,5,3.8,106.7,171.5,0
86,RR,201,20.9,6.25,4,2.3,125.4,102.0,0
87,RifleCoy,177,12.6,4.27,4,2.4,118.5,18.0,0
88,RR,192,11.0,3.44,7,17.1,118.4,0.0,0
89,AssamRifles,328,12.1,2.22,10,6.3,108.1,163.4,0
90,SF,344,16.5,2.87,7,5.8,100.3,45.5,0
91,RR,177,14.3,4.83,7,1.3,99.4,4.4,0
92,RR,264,13.2,3.0,10,4.1,136.2,63.9,0
93,RR,184,18.9,6.17,5,2.2,143.8,79.7,0
94,RifleCoy,199,17.7,5.32,5,1.4,126.2,102.3,0
95,AssamRifles,117,7.2,3.69,9,11.3,105.8,99.2,0
96,SF,367,16.4,2.69,6,2.4,93.3,36.1,0
97,AssamRifles,305,17.8,3.49,8,1.7,150.8,80.1,0
98,AssamRifles,200,13.4,4.02,8,13.4,116.8,183.1,0
99,RR,257,15.0,3.5,6,1.1,116.5,16.8,0
100,SF,216,10.5,2.91,9,6.8,101.0,108.3,0
101,AssamRifles,296,6.0,1.21,8,5.3,120.3,16.8,0
102,SF,219,21.4,5.87,6,12.7,106.9,55.3,0
103,RifleCoy,228,5.3,1.4,6,8.9,94.2,147.9,0
104,RR,200,20.4,6.12,7,6.1,104.9,0.0,0
105,RifleCoy,276,11.7,2.54,4,1.9,116.0,205.9,0
106,SF,372,18.2,2.94,7,3.4,133.0,2.4,0
107,RR,222,12.1,3.27,3,14.5,86.4,0.0,1
108,RifleCoy,222,16.7,4.51,2,0.1,91.4,81.2,0
109,RR,238,14.2,3.59,5,7.9,103.6,54.3,1
110,RifleCoy,255,8.7,2.04,5,1.5,96.0,42.9,0
111,AssamRifles,222,12.7,3.42,8,1.0,110.0,118.5,0
112,RR,216,11.3,3.13,7,1.3,102.6,24.5,0
113,SF,244,15.2,3.74,5,0.3,111.9,114.2,0
114,RR,134,12.7,5.69,4,24.1,112.5,129.6,0
115,SF,207,13.4,3.89,4,10.2,89.7,0.0,0
116,RifleCoy,119,6.9,3.46,6,3.7,106.9,141.6,0
117,RifleCoy,210,5.6,1.6,11,6.3,98.0,126.4,0
118,SF,183,12.4,4.05,6,4.1,127.1,173.1,0
119,RifleCoy,277,12.9,2.8,7,8.3,99.8,80.3,0
120,RR,195,6.7,2.07,11,9.3,102.6,29.9,0
121,RifleCoy,218,14.9,4.09,5,1.3,96.4,155.2,0
122,SF,111,15.1,8.0,14,3.1,109.6,82.9,1
123,SF,301,12.8,2.55,6,5.0,107.7,189.4,0
124,AssamRifles,174,12.1,4.17,1,19.2,132.2,122.6,0
125,SF,211,5.7,1.61,8,5.7,109.5,78.4,0
126,RifleCoy,286,5.6,1.17,4,11.4,130.2,27.1,1
127,SF,286,14.0,2.93,3,9.4,133.1,73.7,1
128,RifleCoy,173,7.9,2.73,2,4.4,104.7,136.2,0
129,RifleCoy,271,8.2,1.82,3,11.2,107.4,0.0,0
130,AssamRifles,171,13.4,4.7,9,2.4,101.4,55.7,0
131,RifleCoy,253,22.2,5.26,3,2.4,91.6,0.0,0
132,SF,192,10.0,3.13,12,7.6,145.4,17.5,0
133,SF,179,22.3,7.46,3,0.7,101.5,43.3,1
134,SF,242,11.6,2.88,3,1.8,96.5,63.8,0
135,RifleCoy,196,14.8,4.54,5,4.7,94.1,101.2,0
136,SF,361,16.8,2.79,6,2.7,100.6,122.1,0
137,RR,202,17.2,5.1,8,14.1,105.4,163.0,0
138,RR,168,13.7,4.89,12,15.9,128.6,176.2,0
139,SF,186,10.9,3.5,5,3.5,137.2,151.1,0
140,RifleCoy,238,16.1,4.07,1,3.9,78.8,57.2,0
141,SF,246,14.1,3.44,4,6.4,133.8,94.0,0
142,RR,258,9.8,2.28,6,3.1,135.2,46.3,1
143,RifleCoy,294,19.0,3.89,6,1.1,100.7,95.0,0
144,SF,139,14.3,6.17,5,6.9,96.3,70.4,0
145,RifleCoy,297,8.3,1.67,4,6.7,117.8,11.5,0
146,SF,185,7.7,2.49,2,1.4,100.4,167.1,0
147,AssamRifles,264,21.8,4.95,9,8.9,132.5,182.5,0
148,RifleCoy,343,9.5,1.67,9,4.8,117.4,34.5,0
149,RR,192,15.8,4.93,8,1.3,98.7,111.2,0
150,RR,189,13.9,4.41,5,5.3,114.4,37.1,0
151,RR,178,15.6,5.26,6,1.3,111.1,75.2,0
152,RR,219,21.6,5.91,8,1.5,81.2,48.1,1
153,SF,315,17.0,3.24,5,9.4,95.2,42.4,0
154,SF,173,16.2,5.61,4,13.3,100.1,91.4,0
155,RifleCoy,210,11.0,3.15,8,1.5,115.7,0.0,0
156,AssamRifles,298,8.7,1.75,5,13.2,118.5,48.6,0
157,AssamRifles,277,24.1,5.22,7,1.4,128.1,320.9,0
158,RifleCoy,210,11.8,3.37,6,0.6,99.4,0.0,0
159,RR,227,11.5,3.03,4,0.3,87.8,57.2,0
160,AssamRifles,294,13.4,2.74,4,1.4,97.3,97.3,0
161,AssamRifles,334,13.0,2.33,5,2.4,99.4,69.2,0
162,RifleCoy,342,20.0,3.5,4,13.1,98.0,34.2,0
163,RR,322,14.7,2.74,4,1.4,109.7,138.1,0
164,SF,199,5.5,1.64,5,2.3,120.5,89.0,0
165,SF,349,8.7,1.5,3,6.6,103.8,42.6,0
166,AssamRifles,195,12.1,3.71,8,1.8,117.5,131.4,0
167,SF,140,17.1,7.34,3,5.8,124.6,48.4,1
168,RifleCoy,246,4.4,1.07,5,2.8,109.8,27.5,1
169,AssamRifles,328,14.5,2.65,2,1.1,92.9,115.3,0
170,AssamRifles,279,15.7,3.37,10,6.6,105.8,1.6,0
171,RR,235,16.4,4.19,2,0.1,125.3,185.5,0
172,SF,257,11.6,2.71,12,1.7,119.5,171.0,0
173,RR,271,17.2,3.82,4,2.2,94.0,112.8,0
174,AssamRifles,248,7.9,1.92,7,3.1,127.7,45.1,0
175,SF,222,16.7,4.52,14,5.7,105.0,15.9,0
176,RR,195,11.7,3.6,4,3.1,93.9,0.0,0
177,SF,246,12.2,2.98,6,4.5,109.5,177.0,1
178,AssamRifles,232,12.2,3.14,7,4.5,87.1,21.8,0
179,AssamRifles,240,15.3,3.81,5,2.3,119.8,101.2,1
180,AssamRifles,302,6.5,1.29,10,13.6,127.2,91.9,0
181,RifleCoy,225,16.4,4.38,5,15.6,95.0,0.0,0
182,RR,227,16.4,4.32,9,4.4,107.5,43.7,0
183,RR,251,10.5,2.51,3,0.4,123.1,12.0,0
184,AssamRifles,397,12.0,1.82,7,3.4,90.0,127.6,0
185,RR,174,7.7,2.66,11,1.0,91.7,130.2,0
186,AssamRifles,305,6.2,1.22,11,3.3,106.4,65.4,0
187,RR,222,13.0,3.51,7,1.0,105.8,29.4,0
188,SF,236,13.0,3.31,5,6.1,110.7,91.3,0
189,RR,161,10.3,3.84,7,0.4,108.4,146.4,0
190,AssamRifles,352,5.8,1.0,1,15.3,90.1,0.0,1
191,RR,253,14.3,3.39,5,1.1,85.8,206.8,0
192,SF,279,10.2,2.19,5,5.4,90.2,65.4,0
193,SF,150,8.3,3.3,3,12.4,117.5,72.9,0
194,SF,201,18.4,5.49,8,1.4,124.3,176.2,0
195,AssamRifles,264,7.1,1.62,3,13.6,108.7,76.7,0
196,RifleCoy,230,14.8,3.86,7,2.5,120.7,73.7,0
197,AssamRifles,266,4.5,1.02,4,16.2,100.9,25.2,1
198,SF,366,4.8,1.0,3,17.8,104.5,45.4,1
199,RR,270,14.4,3.2,4,1.0,123.9,37.6,0
200,SF,213,10.3,2.91,4,8.9,117.0,0.0,0
201,RifleCoy,200,6.2,1.85,9,1.1,112.6,0.0,0
202,RifleCoy,194,16.7,5.18,6,1.3,107.8,66.1,0
203,SF,214,13.9,3.89,7,0.4,92.6,0.0,0
204,AssamRifles,216,2.0,1.0,5,0.9,111.3,119.2,1
205,RifleCoy,247,16.8,4.08,5,5.0,114.6,66.8,0
206,SF,271,6.7,1.48,5,3.0,143.1,0.0,0
207,AssamRifles,266,3.5,1.0,10,7.8,108.8,171.5,1
208,RR,247,7.9,1.92,4,2.0,104.5,54.4,1
209,AssamRifles,252,11.8,2.81,4,17.3,114.2,110.9,0
210,RifleCoy,392,12.4,1.9,6,0.3,131.7,178.6,0
211,AssamRifles,196,3.8,1.17,8,0.3,115.3,78.0,1
212,AssamRifles,237,4.9,1.25,7,6.0,107.3,80.8,0
213,RR,132,8.2,3.73,7,10.9,98.2,166.3,0
214,SF,217,8.5,2.35,5,7.9,97.5,62.4,0
215,AssamRifles,186,15.8,5.1,8,3.4,121.7,144.4,0
216,RR,196,9.9,3.04,5,1.6,105.7,75.6,0
217,RifleCoy,168,15.7,5.61,5,0.1,140.1,90.2,0
218,SF,158,17.5,6.64,6,3.6,111.3,89.4,1
219,RifleCoy,247,14.8,3.59,7,3.2,117.3,57.8,0
220,SF,282,2.0,1.0,4,2.1,101.7,47.9,1
221,AssamRifles,193,10.5,3.26,6,4.3,97.7,40.8,0
222,AssamRifles,118,11.2,5.68,8,6.5,121.5,2.3,0
223,SF,246,11.7,2.86,6,6.0,127.9,53.2,0
224,RifleCoy,268,2.0,1.0,8,1.5,95.1,64.1,1
225,RifleCoy,280,8.2,1.75,9,4.4,99.0,104.5,0
226,RifleCoy,178,5.2,1.75,7,0.8,100.1,74.5,0
227,AssamRifles,203,7.4,2.18,7,0.6,120.1,144.6,0
228,SF,173,10.7,3.71,5,7.7,115.4,141.9,0
229,SF,195,8.3,2.55,6,5.9,108.5,160.7,0
230,RifleCoy,192,7.7,2.42,3,7.3,98.3,67.9,0
231,AssamRifles,209,11.0,3.16,9,0.8,134.1,49.3,0
232,SF,224,9.5,2.56,6,12.3,124.7,0.0,0
233,SF,246,13.0,3.17,10,0.7,80.1,158.5,0
234,RifleCoy,189,9.9,3.14,6,10.2,122.9,10.7,0
235,RifleCoy,231,4.2,1.08,12,2.2,105.7,25.9,1
236,SF,185,6.8,2.22,9,0.6,101.0,93.5,0
237,AssamRifles,134,10.4,4.64,3,1.7,121.5,61.5,0
238,RR,272,9.8,2.15,7,1.0,115.3,166.8,0
239,SF,200,4.9,1.48,4,3.4,111.3,33.9,0
240,SF,136,15.4,6.79,5,15.0,96.5,81.7,1
241,AssamRifles,273,13.6,2.98,6,2.0,125.2,0.0,0
242,SF,224,9.0,2.41,4,4.7,91.5,153.9,0
243,RR,267,11.2,2.51,8,11.1,121.6,0.0,0
244,AssamRifles,265,6.6,1.5,6,5.0,111.3,229.3,0
245,RR,174,16.3,5.61,4,2.2,109.5,73.0,0
246,RR,295,22.3,4.54,5,23.5,101.7,62.8,0
247,SF,130,8.8,4.05,8,1.0,112.5,78.1,0
248,RR,216,18.1,5.03,7,3.7,89.4,15.6,0
249,SF,212,7.7,2.18,3,8.0,128.5,119.5,0
250,SF,193,9.3,2.9,7,0.0,104.0,55.5,0
251,AssamRifles,313,19.2,3.67,4,6.1,99.7,61.2,1
252,AssamRifles,258,11.4,2.65,7,1.5,107.0,157.1,0
253,AssamRifles,155,15.4,5.97,8,0.9,104.4,0.0,1
254,SF,164,10.7,3.9,7,1.6,128.7,68.3,0
255,RR,369,3.0,1.0,5,17.0,84.0,73.4,1
256,RR,211,23.7,6.74,4,11.1,108.9,88.3,1
257,AssamRifles,192,10.9,3.41,7,1.2,133.7,46.6,0
258,AssamRifles,309,12.8,2.48,15,0.6,111.0,60.9,0
259,SF,133,8.3,3.76,5,2.3,112.8,191.0,0
260,RifleCoy,323,15.9,2.95,8,4.5,109.6,110.0,0
261,RifleCoy,192,15.5,4.85,14,10.1,100.3,33.3,0
262,SF,270,4.2,1.0,7,16.9,118.1,119.1,1
263,RifleCoy,211,12.9,3.66,7,7.0,107.1,82.7,0
264,RifleCoy,145,16.4,6.78,5,4.6,112.1,124.5,1
265,RifleCoy,250,18.0,4.32,5,0.8,118.2,67.8,0
266,AssamRifles,296,15.2,3.09,7,0.4,116.6,31.5,0
267,RR,99,15.7,8.0,9,4.5,111.5,0.0,1
268,RR,170,9.3,3.28,7,3.9,123.5,149.1,0
269,AssamRifles,314,5.9,1.12,9,9.4,125.2,121.0,1
270,AssamRifles,263,10.4,2.38,3,1.9,121.8,101.4,0
271,AssamRifles,267,5.7,1.29,9,0.2,125.8,118.9,0
272,RifleCoy,295,8.3,1.69,6,2.8,130.3,154.2,0
273,SF,268,8.2,1.84,9,17.4,91.9,0.0,1
274,SF,248,7.3,1.77,5,7.9,151.4,85.0,0
275,RifleCoy,306,14.7,2.87,4,0.2,112.3,0.0,0
276,RifleCoy,216,6.9,1.93,4,10.4,106.4,56.4,0
277,AssamRifles,239,21.2,5.32,7,3.2,112.5,99.8,0
278,AssamRifles,289,16.9,3.52,3,2.3,87.9,58.9,0
279,RR,194,17.9,5.55,4,2.1,113.5,185.7,0
280,AssamRifles,325,8.6,1.58,6,4.5,98.1,62.5,0
281,RifleCoy,257,13.0,3.04,7,3.8,111.1,33.8,0
282,RR,171,6.8,2.38,6,5.3,112.2,81.9,0
283,AssamRifles,228,13.1,3.44,8,4.3,101.1,17.8,0
284,RR,156,3.2,1.22,9,0.8,82.9,27.4,0
285,RR,245,17.3,4.24,2,1.5,114.1,136.2,0
286,AssamRifles,217,8.8,2.43,5,9.2,110.0,139.4,0
287,SF,188,13.5,4.31,6,5.4,112.9,89.4,0
288,RifleCoy,133,14.4,6.52,7,3.0,103.7,116.6,1
289,RifleCoy,192,9.2,2.88,6,1.0,100.1,205.3,0
290,RR,229,8.0,2.1,3,0.0,106.8,76.5,0
291,SF,217,11.4,3.15,3,1.9,112.1,28.0,0
292,SF,154,16.0,6.24,6,0.3,120.1,112.1,1
293,AssamRifles,241,11.3,2.8,7,3.3,97.8,130.1,0
294,AssamRifles,180,15.0,5.0,0,8.6,121.9,136.0,0
295,RifleCoy,295,16.0,3.25,6,1.7,119.8,148.7,1
296,AssamRifles,304,11.0,2.18,8,9.4,117.8,139.7,0
297,AssamRifles,224,11.4,3.06,6,6.1,137.5,111.2,0
298,RR,334,12.7,2.28,2,0.7,83.6,118.2,0
299,SF,231,17.7,4.6,6,5.2,139.3,104.6,0
300,SF,161,10.3,3.83,6,0.8,100.2,0.0,0
301,AssamRifles,311,17.7,3.41,5,5.3,113.6,0.0,0
302,AssamRifles,336,13.3,2.37,7,0.8,110.7,16.8,0
303,AssamRifles,299,8.3,1.67,8,2.5,89.9,129.2,0
304,RifleCoy,194,11.8,3.65,7,4.2,117.9,53.7,0
305,RifleCoy,165,6.4,2.33,2,0.3,123.0,88.2,0
306,RR,218,5.3,1.45,12,0.8,116.3,173.8,0
307,RifleCoy,388,15.0,2.32,4,1.9,87.8,145.0,0
308,SF,169,16.0,5.68,9,3.1,91.4,0.0,0
309,RifleCoy,289,11.8,2.46,1,9.8,99.5,123.8,0
310,SF,234,12.2,3.14,9,1.0,129.1,83.4,0
311,RifleCoy,296,9.1,1.85,5,2.1,111.4,40.7,0
312,RifleCoy,164,12.8,4.7,5,3.2,80.0,60.3,0
313,RR,225,21.9,5.84,9,1.8,141.0,61.2,0
314,AssamRifles,186,17.0,5.5,5,4.9,132.5,1.3,0
315,AssamRifles,189,11.6,3.69,4,1.5,93.7,94.7,0
316,AssamRifles,284,11.2,2.36,6,7.4,103.9,210.6,0
317,RR,172,10.1,3.53,4,3.5,105.7,141.0,0
318,SF,257,4.9,1.15,3,0.5,117.8,0.0,1
319,RifleCoy,243,9.6,2.37,5,4.9,113.0,97.5,0
320,RR,182,15.4,5.07,7,4.2,99.8,97.5,0
321,SF,195,7.3,2.26,6,2.1,129.7,20.3,0
322,RR,260,10.6,2.45,6,0.1,136.2,7.3,0
323,RR,238,6.4,1.62,9,1.1,109.3,133.9,0
324,SF,242,15.9,3.95,7,2.6,101.4,86.3,0
325,AssamRifles,226,5.6,1.5,7,1.1,133.9,51.4,0
326,RifleCoy,222,15.0,4.04,8,4.3,77.1,116.2,0
327,AssamRifles,238,17.1,4.32,9,6.2,96.6,207.0,0
328,RR,326,10.4,1.91,9,9.7,124.7,95.5,0
329,SF,271,8.6,1.9,10,5.2,130.9,97.5,0
330,RR,232,14.4,3.72,3,5.8,105.2,78.7,0
331,AssamRifles,175,20.0,6.86,6,4.7,144.2,56.5,1
332,AssamRifles,214,18.7,5.25,4,21.2,73.3,129.1,0
333,AssamRifles,184,11.6,3.79,3,1.5,126.4,68.4,0
334,RifleCoy,192,7.6,2.37,6,1.5,111.3,110.0,0
335,AssamRifles,127,10.8,5.12,2,0.7,102.7,170.0,0
336,RifleCoy,239,3.6,1.0,5,3.3,123.2,124.7,1
337,RifleCoy,364,9.2,1.52,4,0.5,104.1,3.6,1
338,AssamRifles,251,14.3,3.41,3,1.6,93.7,0.1,0
339,SF,283,10.2,2.15,9,3.3,111.7,155.2,0
340,RR,297,9.0,1.82,4,15.8,109.2,73.3,0
341,RR,222,11.7,3.17,7,16.6,98.3,95.7,0
342,RifleCoy,226,10.7,2.83,10,6.8,101.4,32.5,1
343,RifleCoy,156,15.8,6.07,3,2.5,103.8,117.0,0
344,RifleCoy,251,5.4,1.28,4,10.0,85.6,193.3,0
345,RR,243,14.6,3.61,7,10.4,84.6,89.1,0
346,RifleCoy,188,11.8,3.76,6,12.1,124.0,118.9,0
347,SF,308,14.2,2.76,9,5.1,88.6,154.7,0
348,SF,193,5.1,1.57,5,1.1,109.7,180.8,0
349,RifleCoy,410,16.4,2.4,7,0.5,82.0,39.2,0
350,RR,264,14.7,3.34,7,12.3,132.6,104.8,0
351,AssamRifles,238,20.4,5.13,4,0.3,106.0,156.5,0
352,RR,356,7.8,1.32,9,1.8,126.8,173.2,0
353,AssamRifles,103,9.1,5.29,8,3.3,141.7,54.6,0
354,AssamRifles,222,3.1,1.0,6,0.1,90.7,39.8,1
355,RifleCoy,213,7.9,2.22,1,11.9,99.8,70.7,1
356,SF,229,19.2,5.02,4,1.7,123.1,60.8,0
357,RifleCoy,253,13.5,3.2,2,0.1,100.5,63.3,0
358,AssamRifles,227,8.4,2.21,7,25.2,114.4,104.7,0
359,RifleCoy,324,12.7,2.35,7,1.9,111.5,47.6,0
360,AssamRifles,266,11.7,2.64,6,10.5,74.9,173.5,0
361,RifleCoy,269,2.5,1.0,10,3.0,124.2,55.7,1
362,SF,267,3.4,1.0,6,5.4,107.9,43.9,1
363,SF,162,17.5,6.49,6,1.4,92.1,9.8,0
364,RR,252,15.7,3.73,3,3.5,133.2,155.4,0
365,AssamRifles,254,4.6,1.08,10,1.5,99.5,2.4,1
366,AssamRifles,172,11.4,3.96,6,15.1,98.6,107.4,0
367,RifleCoy,293,8.4,1.72,3,0.3,83.0,121.7,0
368,RR,117,17.4,8.0,8,1.6,118.9,0.0,1
369,SF,391,14.2,2.18,6,11.2,110.6,1.5,0
370,RifleCoy,237,6.5,1.64,5,3.3,83.9,57.3,0
371,RR,188,12.6,4.02,3,4.6,113.7,193.7,0
372,SF,277,11.8,2.55,6,5.3,122.4,57.3,0
373,RifleCoy,277,11.8,2.56,2,0.4,116.9,49.8,0
374,SF,362,9.4,1.57,8,0.1,129.9,35.0,0
375,AssamRifles,346,12.1,2.1,8,13.9,100.9,34.1,0
376,RR,160,7.7,2.9,5,1.6,136.5,41.9,0
377,SF,223,6.1,1.63,6,2.4,110.1,39.7,0
378,RR,185,5.8,1.87,3,5.7,122.0,37.1,0
379,RifleCoy,284,6.8,1.43,6,1.3,129.2,37.0,0
380,RR,324,14.1,2.61,4,6.6,149.7,57.1,0
381,RifleCoy,161,14.2,5.31,4,3.1,93.8,137.0,0
382,RR,236,19.3,4.91,4,9.7,98.9,12.7,0
383,RifleCoy,202,10.9,3.23,4,1.6,112.8,41.2,0
384,RifleCoy,290,15.5,3.21,9,1.1,104.4,48.8,0
385,RifleCoy,264,12.2,2.78,7,8.9,98.0,80.0,0
386,SF,310,13.5,2.61,6,2.0,87.1,34.2,0
387,AssamRifles,214,16.0,4.5,5,2.7,111.9,204.5,0
388,RR,233,14.9,3.84,2,7.9,121.9,115.0,0
389,AssamRifles,263,12.5,2.86,4,5.0,115.3,138.5,0
390,AssamRifles,223,8.9,2.4,5,2.9,85.6,94.3,0
391,AssamRifles,257,13.4,3.12,9,1.4,85.9,164.3,0
392,AssamRifles,316,18.8,3.57,7,7.2,110.9,11.4,0
393,RR,368,12.9,2.1,3,1.0,106.4,46.6,0
394,RR,210,10.0,2.86,7,13.2,105.2,31.0,0
395,AssamRifles,368,16.1,2.63,4,0.8,105.8,69.7,0
396,RR,209,5.1,1.46,4,8.2,102.5,175.0,0
397,RR,292,10.2,2.1,9,2.8,112.2,212.0,0
398,RifleCoy,210,7.1,2.03,2,1.0,126.5,137.3,0
399,RR,178,11.4,3.84,11,2.6,96.0,74.1,1
400,SF,313,18.2,3.5,8,1.3,116.8,147.2,0
401,AssamRifles,237,15.2,3.85,11,0.7,111.2,169.0,0
402,RR,317,2.7,1.0,8,1.4,83.3,150.6,1
403,AssamRifles,285,8.9,1.88,5,10.1,100.2,72.0,0
404,RR,264,4.5,1.02,7,0.6,110.2,73.6,1
405,AssamRifles,273,17.3,3.8,6,18.0,142.5,40.5,0
406,SF,305,9.1,1.79,4,0.0,99.1,65.3,0
407,RR,295,12.4,2.52,4,5.4,100.8,32.0,0
408,RR,215,12.6,3.52,4,9.7,116.2,76.1,0
409,SF,265,13.0,2.95,9,13.6,108.3,78.6,0
410,RR,330,2.0,1.0,12,0.8,91.1,28.2,1
411,AssamRifles,242,13.8,3.42,8,6.0,84.0,241.1,0
412,SF,210,9.3,2.65,10,0.6,82.1,97.8,0
413,RifleCoy,202,16.2,4.82,4,2.2,122.8,157.5,0
414,AssamRifles,290,13.0,2.69,6,6.6,94.5,152.0,0
415,RR,225,15.2,4.04,4,2.1,145.5,196.6,0
416,AssamRifles,261,8.4,1.92,8,1.9,102.1,25.6,0
417,SF,222,6.4,1.72,1,0.6,121.6,47.3,0
418,RR,310,16.5,3.18,10,0.3,92.6,0.0,0
419,RR,249,14.8,3.57,7,0.6,112.8,0.0,0
