post_id,altitude_m,temp_c,wind_kph,snowfall_cm_7d,acclimatized_days,shelter_quality_1to5,supply_gap_days,med_facility_score_1to5,risk_level,casualty_occurred
428,4314,-21.2,22,43,2,2,4,3,High,0
429,4018,-24.4,23,35,2,4,2,5,High,1
430,3673,-27.8,12,2,17,1,1,3,Medium,0
431,3203,-4.8,18,24,4,4,2,5,Low,0
432,4244,-12.6,32,13,6,1,5,3,High,0
433,2893,-8.8,36,4,14,2,5,3,Low,0
434,2900,-4.1,39,53,4,2,1,5,Low,0
435,3443,-12.7,50,5,6,1,2,3,High,0
436,2190,-0.2,42,44,8,3,1,2,Low,0
437,2876,-17.8,26,12,8,1,3,3,Medium,1
438,3358,-14.9,18,57,5,2,4,4,Medium,0
439,3223,-18.3,25,21,9,4,7,5,Medium,0
440,2907,-6.2,22,36,13,5,0,3,Low,0
441,4721,-4.2,29,18,9,4,4,3,Medium,1
442,4317,-15.2,36,0,6,2,2,5,Medium,0
443,4528,-21.8,32,0,14,4,2,1,High,0
444,3440,-3.4,43,0,18,3,1,2,Low,0
445,3206,-18.2,31,35,14,3,6,2,Medium,0
446,4460,-14.8,15,29,4,1,0,3,High,0
447,3551,-19.5,22,41,4,4,2,5,Medium,0
448,2863,-10.0,32,16,12,4,3,4,Low,0
449,2905,-17.4,30,0,10,2,3,3,Low,0
450,3305,-7.1,41,56,3,1,5,2,High,0
451,3486,-15.9,28,49,11,1,1,3,Medium,0
452,3548,-8.2,26,37,10,4,4,5,Low,0
453,3389,-18.5,12,52,17,5,2,4,Low,1
454,4903,-3.4,19,27,7,4,3,1,Medium,1
455,2688,-15.5,31,35,16,4,2,4,Low,0
456,3903,-11.4,30,15,17,4,3,3,Low,0
457,3213,-20.3,33,8,6,3,2,2,Medium,0
458,3476,-12.1,32,0,11,1,2,5,Medium,0
459,4064,-20.1,26,14,8,3,1,3,Low,0
460,2430,-12.3,17,83,8,5,3,1,Medium,0
461,2932,-18.7,28,0,11,2,0,5,Low,0
462,3419,-13.1,27,11,6,5,2,5,Low,1
463,4385,-8.7,41,32,2,1,1,5,High,0
464,4382,-21.6,41,77,7,2,2,3,High,0
465,4266,-12.3,23,9,15,5,2,1,Medium,0
466,2183,-9.1,21,17,8,1,4,3,Low,0
467,2870,-9.2,14,43,9,5,4,5,Low,0
468,2894,1.4,26,42,13,2,3,5,Low,0
469,3466,-17.2,23,16,2,2,3,2,High,0
470,2388,-12.0,54,13,12,5,2,4,Low,0
471,4158,0.2,16,38,18,3,2,3,Low,1
472,2303,-21.6,28,23,10,5,0,1,Low,0
473,4119,-28.1,21,35,0,5,4,5,High,1
474,4022,-8.3,28,26,9,5,3,3,Low,0
475,2843,-4.7,24,37,13,3,5,4,Low,0
476,4257,-26.8,36,39,10,4,1,3,High,1
477,3300,-14.2,32,0,11,2,5,4,Medium,0
478,3144,-19.1,35,20,11,1,2,3,Medium,0
479,3247,-9.8,20,36,5,2,1,2,Low,0
480,3298,-12.2,38,46,5,2,6,3,High,1
481,3353,-2.8,23,23,8,4,3,2,Low,0
482,3367,-21.4,13,0,11,2,6,4,Medium,1
483,2965,-9.3,26,54,4,2,3,5,Medium,0
484,3105,-7.6,29,47,20,3,4,5,Low,0
485,3157,-11.6,15,32,0,3,5,3,Low,1
486,4503,-26.0,36,20,1,3,2,1,High,0
487,3157,-9.1,19,42,12,3,3,3,Low,1
488,3118,-17.1,19,20,12,3,3,2,Low,0
489,4409,-24.2,27,47,9,1,4,2,High,0
490,3306,-9.4,36,65,13,4,0,4,Low,0
491,2965,-6.6,15,20,12,5,4,3,Low,0
492,2835,-16.3,37,45,10,3,4,4,Low,0
493,2647,-6.2,6,16,11,4,1,1,Low,0
494,3824,-6.1,31,50,0,5,1,5,Medium,1
495,2417,-12.1,16,25,9,2,0,5,Low,0
496,4307,-7.8,20,58,9,2,7,3,High,1
497,3445,-5.2,45,24,19,4,1,4,Low,0
498,3237,-8.3,18,12,5,1,5,4,Medium,0
499,3362,-28.0,27,23,9,1,2,1,High,1
500,3777,-29.6,17,25,17,4,5,4,Medium,0
501,3218,-4.5,35,34,12,1,4,2,Medium,1
502,3384,-16.8,32,23,10,1,7,2,High,0
503,4131,-15.5,33,34,14,2,5,2,High,1
504,3708,1.2,39,35,6,1,3,3,Medium,0
505,2750,-17.1,24,21,18,1,3,2,Low,1
506,3075,-13.0,38,36,13,4,4,2,Low,0
507,2431,-11.9,42,18,1,1,8,5,High,0
508,3869,-13.5,30,69,6,3,3,3,Medium,0
509,3933,-2.6,16,35,0,3,0,2,Low,0
510,2939,-14.6,15,42,13,4,3,1,Low,0
511,4882,-7.0,32,26,12,3,1,2,Medium,1
